<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INBX.US,D,20240531,000000,15.97,16.5,15.25,16.25,544000,0
INBX.US,D,20240603,000000,16.5,18.1899,16.31,18.02,541254,0
INBX.US,D,20240604,000000,18.45,18.63,16.98,17.21,465516,0
INBX.US,D,20240605,000000,18.33,18.95,16.8,16.89,608740,0
INBX.US,D,20240606,000000,16.74,16.74,16.09,16.24,407153,0
INBX.US,D,20240607,000000,16.15,17.2,16.15,16.65,343871,0
INBX.US,D,20240610,000000,17.28,17.3884,16.48,16.59,276898,0
INBX.US,D,20240611,000000,16.48,16.89,16.48,16.84,404630,0
INBX.US,D,20240612,000000,16.53,16.72,16.25,16.52,342118,0
INBX.US,D,20240613,000000,16.4,16.74,16.34,16.59,213505,0
INBX.US,D,20240614,000000,16.44,16.65,15.65,15.7,193964,0
INBX.US,D,20240617,000000,15.64,15.76,13.86,14.19,287182,0
INBX.US,D,20240618,000000,14.14,14.68,13.85,14.57,109598,0
INBX.US,D,20240620,000000,14.46,14.64,13.67,14.49,210201,0
INBX.US,D,20240621,000000,14.53,15.675,14.53,15.14,836123,0
INBX.US,D,20240624,000000,15.115,16,14.92,15.47,144735,0
INBX.US,D,20240625,000000,15.42,15.85,15.06,15.09,160778,0
INBX.US,D,20240626,000000,15.02,15.3,14.53,14.62,161704,0
INBX.US,D,20240627,000000,14.54,14.91,13.91,14.06,267516,0
INBX.US,D,20240628,000000,14.04,14.78,13.75,14.17,823828,0
INBX.US,D,20240701,000000,13.97,14.515,13.7,13.74,239286,0
INBX.US,D,20240702,000000,13.78,14.3,13.33,13.56,173880,0
INBX.US,D,20240703,000000,13.55,13.85,12.945,13.44,81644,0
INBX.US,D,20240705,000000,13.23,13.87,12.61,12.89,221790,0
INBX.US,D,20240708,000000,12.92,14.32,12.92,13.61,136977,0
INBX.US,D,20240709,000000,13.47,13.56,12.9,13.02,185137,0
INBX.US,D,20240710,000000,12.99,13.11,12.8364,12.97,95367,0
INBX.US,D,20240711,000000,13.22,13.4,13,13.25,79502,0
INBX.US,D,20240712,000000,13.38,13.595,12.8001,13.29,53283,0
INBX.US,D,20240715,000000,13.5,14.01,13.14,13.86,170989,0
INBX.US,D,20240716,000000,13.76,14.5,13.76,14.41,194420,0
INBX.US,D,20240717,000000,14.2,14.47,13.54,13.91,78156,0
INBX.US,D,20240718,000000,13.8,13.865,12.96,12.98,186074,0
INBX.US,D,20240719,000000,13.01,13.02,12.84,12.88,49836,0
INBX.US,D,20240722,000000,12.86,13.56,12.7557,13.49,60847,0
INBX.US,D,20240723,000000,13.34,14.37,13.135,14.25,120862,0
INBX.US,D,20240724,000000,13.99,14.48,13.155,13.45,112284,0
INBX.US,D,20240725,000000,13.44,13.775,13.24,13.43,35969,0
INBX.US,D,20240726,000000,13.53,13.79,13.26,13.73,25072,0
INBX.US,D,20240729,000000,13.83,14.39,13.69,14.3,61396,0
INBX.US,D,20240730,000000,14.43,14.5,13.87,14.28,86159,0
INBX.US,D,20240731,000000,14.23,14.69,13.62,14.51,122640,0
INBX.US,D,20240801,000000,14.6,14.96,14.5,14.57,65133,0
INBX.US,D,20240802,000000,14.21,14.37,13.82,14.23,48492,0
INBX.US,D,20240805,000000,13.67,13.88,12.39,12.44,112233,0
INBX.US,D,20240806,000000,12.65,13.87,11.64,11.87,292222,0
INBX.US,D,20240807,000000,12.1,12.1,11.41,11.46,114322,0
INBX.US,D,20240808,000000,12,12,11.31,11.44,86329,0
INBX.US,D,20240809,000000,11.41,11.46,10.995,11.04,74494,0
INBX.US,D,20240812,000000,11.48,11.72,10.8,11.25,85525,0
INBX.US,D,20240813,000000,11.24,11.62,11.01,11.3,56150,0
INBX.US,D,20240814,000000,11.27,11.595,11.16,11.29,47128,0
INBX.US,D,20240815,000000,11.53,12.41,11.47,12.395,49837,0
INBX.US,D,20240816,000000,12.38,12.558,12.08,12.46,40299,0
INBX.US,D,20240819,000000,13.08,13.08,12.54,12.95,68055,0
INBX.US,D,20240820,000000,12.94,13.14,12.5501,12.91,79527,0
INBX.US,D,20240821,000000,13,13.22,12.82,13.05,54306,0
