<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MQ.US,D,20210609,000000,32.5,32.75,28.62,30.52,29495321,0
MQ.US,D,20210610,000000,31.132,31.49,28.9,29.9,6395311,0
MQ.US,D,20210611,000000,30.89,31.98,30.2,31.5,3558627,0
MQ.US,D,20210614,000000,31.56,32.54,31.08,32,2916759,0
MQ.US,D,20210615,000000,32.27,32.27,30.3,31.99,5372516,0
MQ.US,D,20210616,000000,31.57,31.68,29.52,29.97,1573473,0
MQ.US,D,20210617,000000,30.1422,30.85,29.02,29.7,1521525,0
MQ.US,D,20210618,000000,29.5,30.3,29.37,30.2,1133614,0
MQ.US,D,20210621,000000,30.49,30.56,29.74,30,1520599,0
MQ.US,D,20210622,000000,29.87,30.18,28.88,29.2,936808,0
MQ.US,D,20210623,000000,29.35,29.56,29.04,29.25,557404,0
MQ.US,D,20210624,000000,29.45,30.27,29.14,30.08,2232637,0
MQ.US,D,20210625,000000,30.19,30.19,28.16,28.5,1453828,0
MQ.US,D,20210628,000000,29.0637,29.0637,27.33,28.12,1193165,0
MQ.US,D,20210629,000000,28.31,28.39,27.52,28.15,1067729,0
MQ.US,D,20210630,000000,28.23,30.38,27.72,28.07,1638091,0
MQ.US,D,20210701,000000,27.87,29.9,27.86,28.1,2508196,0
MQ.US,D,20210702,000000,28.68,29.83,28.401,29.69,1224637,0
MQ.US,D,20210706,000000,29.64,29.68,28.15,28.7,1114570,0
MQ.US,D,20210707,000000,29,29.2026,27.4,27.91,891163,0
MQ.US,D,20210708,000000,27.25,27.78,25.7,27.03,2536254,0
MQ.US,D,20210709,000000,27.1,27.37,26.75,26.78,1414032,0
MQ.US,D,20210712,000000,26.94,27,25.58,25.64,1219976,0
MQ.US,D,20210713,000000,25.5,27.45,23.83,26.39,3629083,0
MQ.US,D,20210714,000000,26.39,26.39,24.01,25.09,2142957,0
MQ.US,D,20210715,000000,25,26.3,24.5401,25.94,1323389,0
MQ.US,D,20210716,000000,25.9,26.67,25.8,26.53,633474,0
MQ.US,D,20210719,000000,25.75,27.18,25.12,26.18,691879,0
MQ.US,D,20210720,000000,26.37,26.7515,25.83,26.07,786606,0
MQ.US,D,20210721,000000,26.07,26.63,26.07,26.6,396506,0
MQ.US,D,20210722,000000,26.55,26.99,26.3601,26.79,452506,0
MQ.US,D,20210723,000000,26.79,26.925,26.3,26.77,491311,0
MQ.US,D,20210726,000000,26.7,26.79,25.72,26,400570,0
