<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ROMA.US,D,20240109,000000,10,11.8,2.9,2.9,4601000,0
ROMA.US,D,20240110,000000,2.43,5.6299,2.3,3.95,25792200,0
ROMA.US,D,20240111,000000,4.18,6.73,3.95,4.04,40416888,0
ROMA.US,D,20240112,000000,4.7,4.9,3.76,4.03,4884115,0
ROMA.US,D,20240116,000000,3.66,3.91,3.25,3.91,946466,0
ROMA.US,D,20240117,000000,4.27,5.11,1,1.14,15936265,0
ROMA.US,D,20240118,000000,1.24,1.35,1.11,1.29,7888379,0
ROMA.US,D,20240119,000000,1.1,1.16,1.05,1.11,2205117,0
ROMA.US,D,20240122,000000,0.9551,1,0.88,0.91,2116675,0
ROMA.US,D,20240123,000000,0.97,1.04,0.91,0.93,2007257,0
ROMA.US,D,20240124,000000,0.91,1.06,0.85,1.04,1506989,0
ROMA.US,D,20240125,000000,1,1.17,0.96,1.03,1287316,0
ROMA.US,D,20240126,000000,0.9755,0.98,0.901,0.9033,604274,0
ROMA.US,D,20240129,000000,0.9035,0.93,0.81,0.845,740250,0
ROMA.US,D,20240130,000000,0.85,0.85,0.7601,0.778,701352,0
ROMA.US,D,20240131,000000,0.7379,0.75,0.7021,0.7161,629493,0
ROMA.US,D,20240201,000000,0.7161,0.76,0.6801,0.751,3217303,0
ROMA.US,D,20240202,000000,1.01,1.01,0.832,0.9051,7271215,0
ROMA.US,D,20240205,000000,0.81,0.8478,0.75,0.80405,1520691,0
ROMA.US,D,20240206,000000,0.77,0.85,0.75,0.8151,610759,0
ROMA.US,D,20240207,000000,0.8,0.82,0.7376,0.7671,2078165,0
ROMA.US,D,20240208,000000,1.02,1.19,0.87,1.14,8598328,0
ROMA.US,D,20240209,000000,1.07,1.08,0.89,1.02,1899567,0
ROMA.US,D,20240212,000000,0.9374,1.32,0.93,1.27,2861262,0
ROMA.US,D,20240213,000000,1.25,1.28,1.03,1.15,1424863,0
ROMA.US,D,20240214,000000,1.19,1.19,1.05,1.08,667249,0
ROMA.US,D,20240215,000000,1.2,1.6,1.142,1.43,6344113,0
ROMA.US,D,20240216,000000,1.38,1.43,1.17,1.27,1414767,0
ROMA.US,D,20240220,000000,1.3,1.44,1.21,1.4,1182319,0
ROMA.US,D,20240221,000000,1.32,1.6,1.31,1.53,1368884,0
ROMA.US,D,20240222,000000,1.64,2.28,1.57,1.83,8071672,0
ROMA.US,D,20240223,000000,1.83,1.85,1.55,1.62,1106122,0
ROMA.US,D,20240226,000000,1.6,1.6387,1.34,1.4,822196,0
ROMA.US,D,20240227,000000,1.27,1.36,1.13,1.16,861618,0
ROMA.US,D,20240228,000000,1.11,1.25,1.04,1.21,732141,0
ROMA.US,D,20240229,000000,1.22,1.22,0.8606,0.9,840506,0
ROMA.US,D,20240301,000000,0.92,1.43,0.919801,1.36,3032960,0
ROMA.US,D,20240304,000000,1.5,1.66,1.38,1.49,2065061,0
ROMA.US,D,20240305,000000,1.35,1.42,1.25,1.3,597071,0
ROMA.US,D,20240306,000000,1.28,1.4,1.22,1.32,526681,0
ROMA.US,D,20240307,000000,1.28,1.32,1.17,1.17,332373,0
ROMA.US,D,20240308,000000,1.16,1.18,1.06,1.0856,249268,0
ROMA.US,D,20240311,000000,1.12,1.24,1.0701,1.195,391474,0
ROMA.US,D,20240312,000000,1.15,1.3053,1.15,1.24,244125,0
ROMA.US,D,20240313,000000,1.18,1.28,1.15,1.24,188683,0
ROMA.US,D,20240314,000000,1.24,1.24,0.97,1.06,611401,0
ROMA.US,D,20240315,000000,1.13,1.14,1.0348,1.07,242237,0
ROMA.US,D,20240318,000000,1.08,1.1,1,1.03,171687,0
ROMA.US,D,20240319,000000,1.03,1.06,0.9702,1.02,133466,0
ROMA.US,D,20240320,000000,1.02,1.07,0.99,1.03,178446,0
ROMA.US,D,20240321,000000,1.08,1.08,0.96,1,182015,0
ROMA.US,D,20240322,000000,0.9901,1.005,0.9311,0.9601,110650,0
ROMA.US,D,20240325,000000,1,1.01,0.95,0.98,113935,0
ROMA.US,D,20240326,000000,0.97,1.04,0.97,1.03,132134,0
ROMA.US,D,20240327,000000,1,1.02,0.9604,1,76168,0
ROMA.US,D,20240328,000000,1,1.06,0.9801,1.03,123665,0
ROMA.US,D,20240401,000000,0.9977,1.18,0.9933,1.06,407369,0
ROMA.US,D,20240402,000000,1.07,1.13,1.03,1.05,125674,0
ROMA.US,D,20240403,000000,1.03,1.0641,1.02,1.02,90411,0
ROMA.US,D,20240404,000000,1.07,1.08,0.9601,0.9999,123733,0
