<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHFSW.US,D,20210823,000000,0.4001,0.47,0.4,0.47,6110,0
SHFSW.US,D,20210824,000000,0.47,0.47,0.469255,0.47,7550,0
SHFSW.US,D,20210825,000000,0.47,0.4706,0.45,0.45,168490,0
SHFSW.US,D,20210826,000000,0.45,0.452,0.4494,0.45,27522,0
SHFSW.US,D,20210827,000000,0.4601,0.4601,0.4202,0.45,184600,0
SHFSW.US,D,20210830,000000,0.45,0.45,0.45,0.45,60000,0
SHFSW.US,D,20210831,000000,0.45,0.45,0.43,0.4302,708,0
SHFSW.US,D,20210901,000000,0.4495,0.4497,0.4495,0.4497,760,0
SHFSW.US,D,20210903,000000,0.4495,0.45,0.4495,0.45,5080,0
SHFSW.US,D,20210907,000000,0.54,0.56,0.4431,0.4657,20817,0
SHFSW.US,D,20210908,000000,0.47,0.47,0.410832,0.425,319000,0
SHFSW.US,D,20210913,000000,0.45,0.45,0.44,0.440098,1906,0
SHFSW.US,D,20210914,000000,0.4401,0.4406,0.4401,0.4401,1929,0
SHFSW.US,D,20210916,000000,0.4501,0.4501,0.4501,0.4501,24061,0
SHFSW.US,D,20210917,000000,0.4601,0.4601,0.4601,0.4601,567,0
SHFSW.US,D,20210921,000000,0.4457,0.46,0.4425,0.46,4151,0
SHFSW.US,D,20210923,000000,0.4999,0.4999,0.4402,0.4402,1440,0
SHFSW.US,D,20210924,000000,0.4801,0.4801,0.48,0.48,5964,0
SHFSW.US,D,20210927,000000,0.4402,0.4498,0.4398,0.44,248530,0
SHFSW.US,D,20210928,000000,0.44,0.44,0.4301,0.44,70515,0
SHFSW.US,D,20210929,000000,0.439549,0.4401,0.439549,0.44,269844,0
SHFSW.US,D,20210930,000000,0.44,0.4499,0.44,0.44985,21640,0
SHFSW.US,D,20211004,000000,0.45,0.4545,0.4397,0.4397,110944,0
SHFSW.US,D,20211005,000000,0.44,0.44,0.4301,0.4301,210266,0
SHFSW.US,D,20211006,000000,0.4599,0.4599,0.43,0.43,59317,0
SHFSW.US,D,20211007,000000,0.4899,0.4899,0.43,0.43,81022,0
SHFSW.US,D,20211011,000000,0.43,0.44,0.4204,0.435,302300,0
SHFSW.US,D,20211014,000000,0.42,0.440101,0.42,0.440101,117692,0
SHFSW.US,D,20211018,000000,0.5499,0.5499,0.5,0.507,4500,0
SHFSW.US,D,20211022,000000,0.51,0.51,0.51,0.51,11141,0
SHFSW.US,D,20211025,000000,0.5,0.5,0.4988,0.4988,340,0
SHFSW.US,D,20211026,000000,0.5,0.5,0.5,0.5,110,0
SHFSW.US,D,20211028,000000,0.519799,0.5198,0.5,0.5,8100,0
SHFSW.US,D,20211029,000000,0.49,0.4999,0.49,0.4999,375,0
SHFSW.US,D,20211101,000000,0.5,0.52,0.4584,0.4584,311416,0
SHFSW.US,D,20211102,000000,0.5,0.52,0.5,0.519799,57640,0
SHFSW.US,D,20211103,000000,0.5049,0.5199,0.4999,0.5,15388,0
SHFSW.US,D,20211104,000000,0.5398,0.5398,0.5,0.5389,17761,0
SHFSW.US,D,20211105,000000,0.5379,0.5379,0.5378,0.5379,2000,0
SHFSW.US,D,20211108,000000,0.5101,0.5102,0.51,0.51,8200,0
SHFSW.US,D,20211109,000000,0.5024,0.5699,0.5,0.56,169108,0
SHFSW.US,D,20211110,000000,0.57,0.57,0.51,0.526,27202,0
SHFSW.US,D,20211111,000000,0.5001,0.56,0.5001,0.5578,6299,0
