<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVA.US,D,20240725,000000,5.28,5.3213,4.5,4.8,31401,0
NVA.US,D,20240726,000000,4.85,5.235,4.8,5.01,26999,0
NVA.US,D,20240729,000000,5.14,5.14,4.8,5.06,20529,0
NVA.US,D,20240731,000000,5.15,5.15,4.6923,5.11,7874,0
NVA.US,D,20240801,000000,5.01,5.25,4.75,5.15,15728,0
NVA.US,D,20240802,000000,4.87,5.14,4.82,5.12,3201,0
NVA.US,D,20240805,000000,4.82,4.93,4.35,4.93,2413,0
NVA.US,D,20240806,000000,5.14,5.15,4.925,4.925,737,0
NVA.US,D,20240807,000000,5,5.135,4.7601,5.0725,2032,0
NVA.US,D,20240808,000000,5.1,5.6,5.01,5.054,26439,0
NVA.US,D,20240809,000000,5.7,6.27,5.205,5.7,49497,0
NVA.US,D,20240812,000000,5.9,5.9,5.39,5.75,2047,0
NVA.US,D,20240813,000000,5.35,5.6387,5.01,5.01,8491,0
NVA.US,D,20240814,000000,5.01,5.2684,4.6801,4.852,6231,0
NVA.US,D,20240815,000000,4.78,5.54,4.46,4.7,23660,0
NVA.US,D,20240816,000000,4.89,5.6688,4.89,5.33,2859,0
NVA.US,D,20240819,000000,5.55,6,5.55,5.85,15673,0
NVA.US,D,20240820,000000,5.8,5.85,5.75,5.85,8437,0
NVA.US,D,20240821,000000,6.29,6.29,5.8859,5.8859,6904,0
NVA.US,D,20240822,000000,6.42,6.42,5.86,5.9,20573,0
NVA.US,D,20240823,000000,5.93,6.3,5.9,6.185,18144,0
NVA.US,D,20240826,000000,6.17,6.2,5.85,6.03,18179,0
NVA.US,D,20240827,000000,6.4,6.4,6,6.13,28637,0
NVA.US,D,20240828,000000,6.5,6.57,6.01,6.012,45650,0
NVA.US,D,20240829,000000,6.39,6.5,6.16,6.3,28240,0
NVA.US,D,20240830,000000,6.5,6.74,6.1,6.1,19341,0
NVA.US,D,20240903,000000,6.03,6.15,5.55,5.55,32863,0
NVA.US,D,20240904,000000,5.52,5.95,5.52,5.8105,16523,0
NVA.US,D,20240905,000000,5.837,6.05,5.76,6,7987,0
NVA.US,D,20240906,000000,6.2,6.2,5.65,6,8758,0
NVA.US,D,20240909,000000,5.9,6.2,5.9,6.1,12518,0
NVA.US,D,20240910,000000,6.24,6.24,5.79,5.9762,30330,0
NVA.US,D,20240911,000000,5.9,6.21,5.9,6,15712,0
NVA.US,D,20240912,000000,6.01,6.2,6,6.1,17418,0
NVA.US,D,20240913,000000,6.26,6.46,6.01,6.28,26519,0
NVA.US,D,20240916,000000,6.54,6.9999,6.5,6.53,38851,0
NVA.US,D,20240917,000000,6.73,6.93,6.46,6.7,45931,0
NVA.US,D,20240918,000000,6.55,6.92,6.2,6.66,51435,0
NVA.US,D,20240919,000000,6.5,6.7,5.888,6.1,42914,0
NVA.US,D,20240920,000000,6.01,6.27,5.8,5.9,39978,0
NVA.US,D,20240923,000000,6.25,6.25,5.4,5.865,42604,0
NVA.US,D,20240924,000000,5.15,5.15,4.91,4.99,158441,0
NVA.US,D,20240925,000000,5.06,5.3,5.06,5.26,51876,0
NVA.US,D,20240926,000000,5.4,5.4858,5.2,5.36,21930,0
NVA.US,D,20240927,000000,5.21,5.39,5.1701,5.39,77531,0
NVA.US,D,20240930,000000,5.5,5.5,5.31,5.38,47383,0
NVA.US,D,20241001,000000,5.63,5.68,5.3501,5.4001,46594,0
NVA.US,D,20241002,000000,5.55,6.25,5.45,6.06,103387,0
NVA.US,D,20241003,000000,6.2,6.7,6,6.56,54303,0
NVA.US,D,20241004,000000,6.8,7.03,6.51,7.02,84037,0
NVA.US,D,20241007,000000,7.7,7.7,6.9,7.14,94500,0
NVA.US,D,20241008,000000,7,7.15,6.0101,6.7,100568,0
NVA.US,D,20241009,000000,7.1,7.1,6.3,6.59,61959,0
NVA.US,D,20241010,000000,6.86,7.12,6.5,6.8,53457,0
NVA.US,D,20241011,000000,7.07,7.2151,6.85,7.2,70025,0
NVA.US,D,20241014,000000,7.49,7.54,6.55,7.18,75196,0
NVA.US,D,20241015,000000,7.15,7.2,6.8,6.99,45387,0
NVA.US,D,20241016,000000,7.3,7.4,7.13,7.2,66538,0
NVA.US,D,20241017,000000,7.2,7.5,7.1,7.425,45166,0
NVA.US,D,20241018,000000,7.36,7.44,7.11,7.34,61624,0
NVA.US,D,20241021,000000,7.49,7.55,7.28,7.49,25284,0
NVA.US,D,20241022,000000,7.6,8,7.52,7.795,63285,0
NVA.US,D,20241023,000000,8.29,9.22,8.29,8.85,199993,0
NVA.US,D,20241024,000000,9.75,10.87,9.2292,10.78,218239,0
NVA.US,D,20241025,000000,11.14,12.65,9.72,10.68,300268,0
NVA.US,D,20241028,000000,11.3,11.3,9.62,10.94,120407,0
NVA.US,D,20241029,000000,10.4,10.4,8.06,9.18,139844,0
NVA.US,D,20241030,000000,9.32,9.9,8.5001,9.64,51760,0
NVA.US,D,20241031,000000,10,10.59,9.26,9.92,32134,0
NVA.US,D,20241101,000000,10.37,10.37,8.65,9.475,84850,0
NVA.US,D,20241104,000000,9.51,9.5499,8.2,8.33,64481,0
NVA.US,D,20241105,000000,8.18,9.335,7.98,9.15,74569,0
NVA.US,D,20241106,000000,8.91,8.99,7.8,8.45,43190,0
NVA.US,D,20241107,000000,8.12,8.34,7.55,8.34,42541,0
NVA.US,D,20241108,000000,7.91,8.34,7,7.48,85503,0
NVA.US,D,20241111,000000,7.17,8.2499,7.1601,7.65,54695,0
NVA.US,D,20241112,000000,7.51,8.29,7.4706,7.8201,34474,0
NVA.US,D,20241113,000000,7.8,7.94,7.4701,7.55,18540,0
NVA.US,D,20241114,000000,7.47,8.13,7.45,8.12,36271,0
NVA.US,D,20241115,000000,8.49,8.49,7.81,7.9,19035,0
NVA.US,D,20241118,000000,8,8.1,7.34,7.34,63116,0
NVA.US,D,20241119,000000,7.55,8.4374,7.5,7.92,25062,0
NVA.US,D,20241120,000000,8,8.22,7.8,8.17,11052,0
NVA.US,D,20241121,000000,7.94,8.3642,7.6501,8.04,18822,0
NVA.US,D,20241122,000000,7.88,8.4,7.88,8.16,12935,0
NVA.US,D,20241125,000000,8.25,9.21,8.25,9.16,39277,0
NVA.US,D,20241126,000000,8.91,9.35,8.41,9.25,44966,0
NVA.US,D,20241127,000000,9.46,9.94,9.2472,9.6,27496,0
NVA.US,D,20241129,000000,9.89,9.89,9.595,9.65,4315,0
