<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYRA.US,D,20231002,000000,2.8,3.3,2.6,3.03,94354,0
SYRA.US,D,20231003,000000,3.02,3.1999,3,3.03,30185,0
SYRA.US,D,20231004,000000,3,3.15,3,3.02,39624,0
SYRA.US,D,20231005,000000,3.2,3.25,2.8583,2.87,37553,0
SYRA.US,D,20231006,000000,3.04,3.04,2.85,2.88,9246,0
SYRA.US,D,20231009,000000,3,3,2.6,2.68,11295,0
SYRA.US,D,20231010,000000,2.4,2.65,2.21,2.3708,60515,0
SYRA.US,D,20231011,000000,2.12,2.2912,2.12,2.22,10766,0
SYRA.US,D,20231012,000000,2.14,2.14,1.75,1.9,59832,0
SYRA.US,D,20231013,000000,1.93,2.155,1.9,1.94,18236,0
SYRA.US,D,20231016,000000,2.03,2.25,2.03,2.05,73575,0
SYRA.US,D,20231017,000000,2.15,2.25,1.55,1.85,38192,0
SYRA.US,D,20231018,000000,1.79,2,1.5425,1.86,17872,0
SYRA.US,D,20231019,000000,1.93,2.085,1.6601,1.89,68933,0
SYRA.US,D,20231020,000000,1.85,1.975,1.7101,1.7101,42294,0
SYRA.US,D,20231023,000000,1.87,1.87,1.515,1.52,55961,0
SYRA.US,D,20231024,000000,1.53,1.64,1.382,1.53,31292,0
SYRA.US,D,20231025,000000,1.64,1.64,1.2201,1.28,8507,0
SYRA.US,D,20231026,000000,1.36,1.43,1.32,1.32,6560,0
SYRA.US,D,20231027,000000,1.39,1.5,1.3,1.33,16869,0
SYRA.US,D,20231030,000000,1.3999,1.46,1.29,1.3409,14660,0
SYRA.US,D,20231031,000000,1.37,1.54,1.23,1.26,30722,0
SYRA.US,D,20231101,000000,1.3,1.3,1.18,1.22,17802,0
SYRA.US,D,20231102,000000,1.23,1.3615,1.15,1.24,19497,0
SYRA.US,D,20231103,000000,1.31,1.5999,1.3,1.5,28245,0
SYRA.US,D,20231106,000000,1.6,1.78,1.35,1.6688,31560,0
SYRA.US,D,20231107,000000,1.64,1.72,1.5128,1.6,21860,0
SYRA.US,D,20231108,000000,1.6075,1.6305,1.51,1.51,2680,0
SYRA.US,D,20231109,000000,1.5176,1.52,1.46,1.46,1654,0
SYRA.US,D,20231110,000000,1.4,1.4652,1.4,1.42,2921,0
SYRA.US,D,20231113,000000,1.3725,1.45,1.32,1.32,10406,0
SYRA.US,D,20231114,000000,1.32,1.3817,1.25,1.28,7623,0
SYRA.US,D,20231115,000000,1.26,1.68,1.251,1.46,27257,0
SYRA.US,D,20231116,000000,1.42,1.42,1.2,1.3,21523,0
SYRA.US,D,20231117,000000,1.3101,1.42,1.3101,1.32,1639,0
SYRA.US,D,20231120,000000,1.4,1.68,1.31,1.33,16094,0
SYRA.US,D,20231121,000000,1.375,1.3775,1.21,1.3008,8650,0
SYRA.US,D,20231122,000000,1.43,1.44,1.3,1.3,9699,0
