<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMRX.US,D,20210730,000000,19.5,20,16.06,17.59,942022,0
IMRX.US,D,20210802,000000,17.65,18.48,17,17,183013,0
IMRX.US,D,20210803,000000,17,20.35,17,19.17,160986,0
IMRX.US,D,20210804,000000,18.91,24.0773,18.62,22.58,242742,0
IMRX.US,D,20210805,000000,23.03,27.59,21.7716,26.97,216630,0
IMRX.US,D,20210806,000000,27.52,33.99,26.9,28.23,171211,0
IMRX.US,D,20210809,000000,28.87,31.45,28.87,29.64,74656,0
IMRX.US,D,20210810,000000,29.9,31.18,28.71,30.24,108187,0
IMRX.US,D,20210811,000000,30.61,30.61,28,29.51,65858,0
IMRX.US,D,20210812,000000,29.05,30.634,27.36,28.18,52464,0
IMRX.US,D,20210813,000000,27.65,29.07,27.5,28.62,51527,0
IMRX.US,D,20210816,000000,28.6,30.2,28.0327,29.95,31386,0
IMRX.US,D,20210817,000000,30.01,32,29.4,30.11,26956,0
IMRX.US,D,20210818,000000,29.62,32.26,29.58,31.51,76020,0
IMRX.US,D,20210819,000000,30.75,31.4,30.0928,30.52,57159,0
IMRX.US,D,20210820,000000,30.17,30.835,28.1543,30.43,81826,0
IMRX.US,D,20210823,000000,30.13,30.59,28.35,29.43,104521,0
IMRX.US,D,20210824,000000,29.34,31.4385,28.21,28.57,82888,0
IMRX.US,D,20210825,000000,29.39,29.39,27.74,28.64,55312,0
IMRX.US,D,20210826,000000,28,28.54,27.2746,28.24,97955,0
IMRX.US,D,20210827,000000,27.77,28.5,26.38,26.64,95639,0
IMRX.US,D,20210830,000000,26.67,28.16,25.75,26.35,119130,0
IMRX.US,D,20210831,000000,26.02,26.86,23.59,24.47,162837,0
IMRX.US,D,20210901,000000,24.81,26.945,23.62,26.05,127087,0
IMRX.US,D,20210902,000000,26,26.41,24.82,25.73,107523,0
IMRX.US,D,20210903,000000,25.36,30.24,24.92,28.31,188024,0
IMRX.US,D,20210907,000000,28.29,28.63,25.145,25.36,150395,0
