<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLN.US,D,20240710,000000,121,133.5,121,127.5,819100,0
TLN.US,D,20240711,000000,128.04,132.09,128,130.89,1418570,0
TLN.US,D,20240712,000000,131.62,133.3099,130.65,131.43,722353,0
TLN.US,D,20240715,000000,133.82,133.82,129.65,130.31,650816,0
TLN.US,D,20240716,000000,130.13,135.55,129.11,134.16,979430,0
TLN.US,D,20240717,000000,134,134,118.57,119.5,1210798,0
TLN.US,D,20240718,000000,123.5,127.39,118.06,120.53,703562,0
TLN.US,D,20240719,000000,120.53,125.99,119.58,123.85,300437,0
TLN.US,D,20240722,000000,124.35,127.85,122,125.68,467612,0
TLN.US,D,20240723,000000,126.79,128.45,125.7422,126.56,581313,0
TLN.US,D,20240724,000000,127.41,127.41,118.69,120.09,1442484,0
TLN.US,D,20240725,000000,118.92,120.87,105.25,109.08,2627872,0
TLN.US,D,20240726,000000,109.64,113.84,105.545,113.675,1021296,0
TLN.US,D,20240729,000000,114,117.92,106.67,110.3,852488,0
TLN.US,D,20240730,000000,111.97,116.35,108.27,110.86,1057096,0
TLN.US,D,20240731,000000,130,130.95,122.16,124.65,3517719,0
TLN.US,D,20240801,000000,124.65,125.57,117.23,121.1,1112255,0
TLN.US,D,20240802,000000,119.47,122.87,98.5,114.63,1917160,0
TLN.US,D,20240805,000000,104.47,116.92,102.71,114.22,1142092,0
TLN.US,D,20240806,000000,114.77,120.33,114.28,117.24,635226,0
TLN.US,D,20240807,000000,119,122.565,114,116.44,489627,0
TLN.US,D,20240808,000000,117.02,121.46,117,119.48,487592,0
TLN.US,D,20240809,000000,119.48,125,118.25,123.56,430839,0
TLN.US,D,20240812,000000,123.75,125.325,113.41,119.76,688088,0
TLN.US,D,20240813,000000,135,135,120.4667,126.89,1085249,0
TLN.US,D,20240814,000000,128,134.09,126,129.81,1571059,0
TLN.US,D,20240815,000000,131,139.99,130.91,135.64,976281,0
TLN.US,D,20240816,000000,136.58,139,131.96,132.96,372242,0
TLN.US,D,20240819,000000,132.96,138.15,131.31,137.65,362796,0
TLN.US,D,20240820,000000,139.51,139.51,133.02,134.25,229584,0
TLN.US,D,20240821,000000,136.67,142.19,136.56,139.01,771770,0
TLN.US,D,20240822,000000,140.05,143.83,137.92,143,557007,0
TLN.US,D,20240823,000000,144,148.88,143.47,148.8,768503,0
TLN.US,D,20240826,000000,152.18,152.18,141.07,145.02,823787,0
TLN.US,D,20240827,000000,143.16,153.85,143.16,151.86,747327,0
TLN.US,D,20240828,000000,150.3,155,145.72,148.15,738031,0
TLN.US,D,20240829,000000,148.98,151.735,144.12,146.36,484795,0
TLN.US,D,20240830,000000,145.86,150.545,145.86,149.61,590043,0
TLN.US,D,20240903,000000,147.53,149.645,137.5,138.275,849627,0
TLN.US,D,20240904,000000,138.73,145.96,138.57,142.85,830279,0
TLN.US,D,20240905,000000,152.06,152.06,140.1001,145.01,775182,0
TLN.US,D,20240906,000000,145.01,149.01,137.55,143.065,1095757,0
TLN.US,D,20240909,000000,145.63,147.66,141.03,146.12,766657,0
TLN.US,D,20240910,000000,147.24,149.35,145.0501,147.68,578307,0
TLN.US,D,20240911,000000,149.97,154.31,148.84,152.1,888707,0
TLN.US,D,20240912,000000,149.52,158.68,149.52,155.99,684605,0
TLN.US,D,20240913,000000,164.72,169.3,160.85,166.75,1278382,0
