<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IROHR.US,D,20240220,000000,0.2,0.2,0.18,0.2,281256,0
IROHR.US,D,20240221,000000,0.18,0.22,0.18,0.22,50700,0
IROHR.US,D,20240223,000000,0.19,0.19,0.19,0.19,50000,0
IROHR.US,D,20240226,000000,0.22,0.22,0.19,0.2,500,0
IROHR.US,D,20240227,000000,0.19,0.19,0.19,0.19,560,0
IROHR.US,D,20240228,000000,0.18,0.18,0.18,0.18,867,0
IROHR.US,D,20240229,000000,0.18,0.1881,0.18,0.1881,30100,0
IROHR.US,D,20240301,000000,0.18,0.1881,0.18,0.18,130190,0
IROHR.US,D,20240304,000000,0.22,0.22,0.19,0.19,10640,0
IROHR.US,D,20240305,000000,0.18,0.2,0.18,0.2,163516,0
IROHR.US,D,20240306,000000,0.18,0.2,0.18,0.2,289437,0
IROHR.US,D,20240307,000000,0.205001,0.205001,0.1801,0.19005,3072,0
IROHR.US,D,20240308,000000,0.18,0.1944,0.18,0.185,185600,0
IROHR.US,D,20240311,000000,0.18,0.2,0.18,0.2,52603,0
IROHR.US,D,20240312,000000,0.18,0.2,0.18,0.2,60000,0
IROHR.US,D,20240313,000000,0.1802,0.2,0.18,0.1951,150573,0
IROHR.US,D,20240318,000000,0.2001,0.2001,0.19,0.19,5061,0
IROHR.US,D,20240319,000000,0.23,0.23,0.23,0.23,195,0
IROHR.US,D,20240320,000000,0.2,0.200144,0.2,0.2,67455,0
IROHR.US,D,20240322,000000,0.2001,0.2001,0.2001,0.2001,580,0
IROHR.US,D,20240325,000000,0.2,0.2,0.2,0.2,625,0
IROHR.US,D,20240328,000000,0.190101,0.203401,0.190101,0.203401,636,0
IROHR.US,D,20240402,000000,0.2001,0.2001,0.2,0.2,1319,0
IROHR.US,D,20240404,000000,0.2,0.2,0.1901,0.1901,1254,0
IROHR.US,D,20240405,000000,0.2,0.23,0.1902,0.1902,840,0
IROHR.US,D,20240408,000000,0.21,0.2101,0.21,0.2101,2221,0
IROHR.US,D,20240410,000000,0.2001,0.24,0.2001,0.24,11369,0
IROHR.US,D,20240416,000000,0.2,0.2,0.2,0.2,765,0
IROHR.US,D,20240418,000000,0.1802,0.1802,0.1802,0.1802,1306,0
IROHR.US,D,20240424,000000,0.21,0.3,0.2001,0.21,5643,0
IROHR.US,D,20240429,000000,0.2001,0.2001,0.2001,0.2001,1371,0
IROHR.US,D,20240501,000000,0.21,0.2601,0.2,0.2601,131582,0
IROHR.US,D,20240506,000000,0.25,0.2501,0.25,0.2501,1500,0
IROHR.US,D,20240507,000000,0.251,0.251,0.2,0.25,12290,0
IROHR.US,D,20240514,000000,0.21,0.25,0.21,0.2499,1762,0
IROHR.US,D,20240515,000000,0.21,0.26,0.21,0.26,2733,0
IROHR.US,D,20240516,000000,0.2545,0.2545,0.2545,0.2545,549,0
IROHR.US,D,20240520,000000,0.21,0.2103,0.21,0.2103,7056,0
IROHR.US,D,20240522,000000,0.1806,0.21,0.1806,0.21,3591,0
IROHR.US,D,20240523,000000,0.2001,0.2001,0.2001,0.2001,444,0
IROHR.US,D,20240524,000000,0.2,0.2001,0.2,0.2001,300590,0
IROHR.US,D,20240528,000000,0.2001,0.2001,0.2001,0.2001,6400,0
IROHR.US,D,20240603,000000,0.23,0.23,0.23,0.23,1557,0
IROHR.US,D,20240605,000000,0.21,0.21,0.21,0.21,1720,0
IROHR.US,D,20240613,000000,0.19,0.2,0.19,0.2,8941,0
IROHR.US,D,20240617,000000,0.19,0.19,0.19,0.19,1483,0
IROHR.US,D,20240618,000000,0.23,0.23,0.2299,0.2299,565,0
IROHR.US,D,20240620,000000,0.23,0.23,0.23,0.23,146100,0
IROHR.US,D,20240626,000000,0.23,0.23,0.23,0.23,762,0
IROHR.US,D,20240627,000000,0.230101,0.230101,0.230101,0.230101,478,0
IROHR.US,D,20240628,000000,0.23,0.299,0.23,0.2645,4252,0
IROHR.US,D,20240701,000000,0.299,0.299,0.23,0.2301,850,0
IROHR.US,D,20240705,000000,0.24,0.24,0.24,0.24,283,0
IROHR.US,D,20240710,000000,0.23,0.23,0.23,0.23,1030,0
IROHR.US,D,20240718,000000,0.23,0.23,0.23,0.23,2436,0
IROHR.US,D,20240722,000000,0.3,0.3,0.3,0.3,3891,0
IROHR.US,D,20240723,000000,0.2301,0.3,0.2301,0.3,663,0
