<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RFACR.US,D,20220421,000000,0.15,0.16,0.15,0.15,151800,0
RFACR.US,D,20220422,000000,0.15,0.15,0.15,0.15,400,0
RFACR.US,D,20220425,000000,0.15,0.1775,0.15,0.16,2064883,0
RFACR.US,D,20220426,000000,0.155,0.155,0.1301,0.141,35213,0
RFACR.US,D,20220427,000000,0.133,0.133,0.12,0.12005,24346,0
RFACR.US,D,20220428,000000,0.1215,0.12151,0.1215,0.12151,9000,0
RFACR.US,D,20220429,000000,0.14,0.15,0.131099,0.14,28627,0
RFACR.US,D,20220505,000000,0.12,0.15,0.12,0.15,23957,0
RFACR.US,D,20220506,000000,0.115101,0.115101,0.115101,0.115101,300,0
RFACR.US,D,20220509,000000,0.14,0.14,0.11,0.11,502,0
RFACR.US,D,20220512,000000,0.1,0.1,0.1,0.1,970,0
RFACR.US,D,20220513,000000,0.11,0.11,0.0998,0.1,11200,0
RFACR.US,D,20220517,000000,0.1,0.1,0.1,0.1,1103899,0
RFACR.US,D,20220602,000000,0.1,0.1,0.1,0.1,5450,0
RFACR.US,D,20220606,000000,0.1,0.110626,0.1,0.1,496,0
RFACR.US,D,20220607,000000,0.1,0.11,0.1,0.101599,3922,0
RFACR.US,D,20220609,000000,0.1,0.1,0.1,0.1,249985,0
RFACR.US,D,20220613,000000,0.1046,0.105,0.1001,0.1001,15230,0
RFACR.US,D,20220614,000000,0.1001,0.1001,0.1001,0.1001,902,0
RFACR.US,D,20220617,000000,0.104101,0.104101,0.1001,0.1001,1617,0
RFACR.US,D,20220621,000000,0.11,0.11,0.11,0.11,13249,0
RFACR.US,D,20220623,000000,0.1001,0.1001,0.1001,0.1001,38592,0
RFACR.US,D,20220701,000000,0.1001,0.1001,0.1001,0.1001,500,0
RFACR.US,D,20220705,000000,0.1001,0.1001,0.1001,0.1001,166,0
RFACR.US,D,20220708,000000,0.0999,0.0999,0.0999,0.0999,500,0
RFACR.US,D,20220719,000000,0.1,0.1,0.1,0.1,5200,0
RFACR.US,D,20220720,000000,0.1,0.1,0.1,0.1,1700,0
RFACR.US,D,20220721,000000,0.1001,0.1001,0.1001,0.1001,4450,0
RFACR.US,D,20220725,000000,0.1001,0.100751,0.1001,0.1001,402,0
RFACR.US,D,20220727,000000,0.1001,0.1001,0.1,0.1,200,0
RFACR.US,D,20220728,000000,0.09,0.09,0.09,0.09,100,0
RFACR.US,D,20220801,000000,0.13,0.13,0.116,0.116,1379,0
RFACR.US,D,20220802,000000,0.1001,0.1001,0.1,0.1,52100,0
RFACR.US,D,20220803,000000,0.1,0.1,0.1,0.1,6874,0
RFACR.US,D,20220805,000000,0.0981,0.0981,0.034,0.034,4700,0
RFACR.US,D,20220809,000000,0.0891,0.1018,0.0891,0.097,112647,0
RFACR.US,D,20220810,000000,0.0971,0.1,0.08,0.08,446933,0
RFACR.US,D,20220811,000000,0.0801,0.0801,0.0701,0.0701,181961,0
RFACR.US,D,20220812,000000,0.08325,0.08325,0.08325,0.08325,200,0
RFACR.US,D,20220815,000000,0.0965,0.0965,0.07,0.08,549973,0
RFACR.US,D,20220818,000000,0.08,0.0935,0.08,0.0801,1503,0
RFACR.US,D,20220822,000000,0.0801,0.0801,0.0801,0.0801,1196,0
RFACR.US,D,20220902,000000,0.08,0.0801,0.08,0.0801,300,0
RFACR.US,D,20220906,000000,0.0801,0.0801,0.08,0.08,100000,0
RFACR.US,D,20220909,000000,0.08,0.0803,0.08,0.0801,27201,0
RFACR.US,D,20220914,000000,0.08,0.0801,0.08,0.0801,15000,0
RFACR.US,D,20220926,000000,0.0801,0.0801,0.0801,0.0801,34650,0
RFACR.US,D,20220927,000000,0.08,0.0801,0.08,0.0801,1100,0
RFACR.US,D,20220929,000000,0.0801,0.0801,0.0801,0.0801,100,0
RFACR.US,D,20221005,000000,0.0801,0.0801,0.08,0.08,54490,0
RFACR.US,D,20221006,000000,0.08,0.08,0.08,0.08,100,0
