<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POLE.US,D,20241029,000000,9.95,9.95,9.95,9.95,307,0
POLE.US,D,20241030,000000,10.05,10.05,9.9392,9.95,801650,0
POLE.US,D,20241031,000000,9.96,9.96,9.95,9.95,255170,0
POLE.US,D,20241101,000000,9.96,9.96,9.94,9.95,436045,0
POLE.US,D,20241104,000000,9.96,9.99,9.95,9.95,310771,0
POLE.US,D,20241105,000000,9.95,9.95,9.95,9.95,106,0
POLE.US,D,20241106,000000,10.05,10.05,9.95,9.95,12816,0
POLE.US,D,20241107,000000,9.95,9.96,9.95,9.96,5927,0
POLE.US,D,20241108,000000,10.0757,10.548,9.95,9.96,7113,0
POLE.US,D,20241111,000000,10.3135,10.5719,9.96,9.96,712609,0
POLE.US,D,20241112,000000,9.95,10.96,9.95,9.96,12325,0
POLE.US,D,20241113,000000,10.12,10.93,9.96,9.97,503520,0
POLE.US,D,20241114,000000,9.98,11.16,9.96,9.99,29399,0
POLE.US,D,20241115,000000,10.01,10.01,9.97,9.985,1998,0
POLE.US,D,20241118,000000,9.97,9.975,9.96,9.96,2762,0
POLE.US,D,20241119,000000,10,10,9.96,9.97,52330,0
POLE.US,D,20241120,000000,10,10,9.96,9.96,6867,0
POLE.US,D,20241121,000000,9.97,9.9786,9.95,9.955,165733,0
POLE.US,D,20241122,000000,9.96,9.9641,9.95,9.96,141730,0
POLE.US,D,20241125,000000,9.97,9.97,9.95,9.965,10687,0
POLE.US,D,20241126,000000,9.97,9.97,9.96,9.9601,2068,0
POLE.US,D,20241127,000000,9.96,9.9851,9.96,9.975,238457,0
POLE.US,D,20241129,000000,9.97,9.9829,9.96,9.971,3222,0
POLE.US,D,20241202,000000,9.97,10,9.965,9.97,52962,0
POLE.US,D,20241203,000000,9.9852,9.9852,9.97,9.97,76476,0
POLE.US,D,20241204,000000,9.97,9.97,9.97,9.97,514,0
POLE.US,D,20241205,000000,9.97,9.9852,9.97,9.98,1355,0
POLE.US,D,20241206,000000,9.9874,9.9874,9.9699,9.97,2449,0
POLE.US,D,20241209,000000,9.97,9.9753,9.97,9.9753,36627,0
POLE.US,D,20241210,000000,9.97,9.97,9.965,9.97,391373,0
POLE.US,D,20241211,000000,9.98,9.98,9.98,9.98,4109,0
POLE.US,D,20241212,000000,9.98,9.9816,9.98,9.98,1396,0
POLE.US,D,20241216,000000,9.98,9.99,9.98,9.99,527,0
POLE.US,D,20241217,000000,9.99,9.99,9.98,9.98,287279,0
POLE.US,D,20241218,000000,9.98,9.99,9.97,9.99,1488469,0
POLE.US,D,20241219,000000,9.9821,9.9884,9.9821,9.9884,7532,0
POLE.US,D,20241220,000000,9.985,9.985,9.975,9.98,208096,0
POLE.US,D,20241223,000000,9.99,9.99,9.98,9.98,741,0
POLE.US,D,20241224,000000,9.98,9.99,9.98,9.98,251917,0
POLE.US,D,20241227,000000,9.98,10,9.98,10,31050,0
POLE.US,D,20241231,000000,9.9985,10,9.995,9.995,5032,0
