<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCK.US,D,20240930,000000,24.98,24.98,24.9639,24.9639,101,0
MYCK.US,D,20241001,000000,25.0226,25.0226,25.0226,25.0226,25,0
MYCK.US,D,20241002,000000,25.01,25.01,24.9988,24.9988,100,0
MYCK.US,D,20241004,000000,24.8064,24.8064,24.8064,24.8064,25,0
MYCK.US,D,20241007,000000,24.7188,24.7188,24.7188,24.7188,25,0
MYCK.US,D,20241008,000000,24.76,24.76,24.75,24.7551,404,0
MYCK.US,D,20241009,000000,24.7135,24.7135,24.7135,24.7135,1,0
MYCK.US,D,20241010,000000,24.73,24.74,24.715,24.715,3648,0
MYCK.US,D,20241011,000000,24.7596,24.7596,24.7344,24.7344,304,0
MYCK.US,D,20241014,000000,24.725,24.725,24.725,24.725,25,0
MYCK.US,D,20241015,000000,24.8,24.82,24.8,24.8007,821,0
MYCK.US,D,20241016,000000,24.8436,24.87,24.8436,24.85,1072,0
MYCK.US,D,20241017,000000,24.84,24.84,24.7366,24.7366,7240,0
MYCK.US,D,20241018,000000,24.79,24.79,24.7475,24.7475,5375,0
MYCK.US,D,20241021,000000,24.61,24.61,24.58,24.58,482,0
MYCK.US,D,20241022,000000,24.59,24.59,24.575,24.575,1522,0
MYCK.US,D,20241023,000000,24.51,24.53,24.49,24.5128,1700,0
MYCK.US,D,20241024,000000,24.5571,24.5571,24.5571,24.5571,25,0
MYCK.US,D,20241025,000000,24.52,24.52,24.52,24.52,2,0
MYCK.US,D,20241028,000000,24.495,24.495,24.495,24.495,2,0
MYCK.US,D,20241029,000000,24.5217,24.5217,24.5217,24.5217,2,0
MYCK.US,D,20241030,000000,24.48,24.48,24.465,24.465,150,0
MYCK.US,D,20241031,000000,24.43,24.45,24.4218,24.4218,2950,0
MYCK.US,D,20241101,000000,24.28,24.28,24.2609,24.27,1798,0
MYCK.US,D,20241104,000000,24.35,24.3541,24.34,24.3541,430,0
MYCK.US,D,20241105,000000,24.3135,24.4213,24.3135,24.4213,7550,0
MYCK.US,D,20241106,000000,24.25,24.3,24.25,24.2547,13469,0
MYCK.US,D,20241107,000000,24.42,24.47,24.42,24.465,1044,0
MYCK.US,D,20241108,000000,24.49,24.4999,24.49,24.4983,693,0
MYCK.US,D,20241111,000000,24.46,24.46,24.45,24.45,18101,0
MYCK.US,D,20241112,000000,24.35,24.35,24.3167,24.3167,1320,0
MYCK.US,D,20241114,000000,24.32,24.32,24.26,24.2625,2801,0
MYCK.US,D,20241115,000000,24.22,24.2851,24.22,24.2851,101,0
MYCK.US,D,20241118,000000,24.27,24.34,24.27,24.3288,2584,0
MYCK.US,D,20241120,000000,24.36,24.36,24.3247,24.3247,21601,0
MYCK.US,D,20241121,000000,24.35,24.35,24.315,24.315,201,0
MYCK.US,D,20241125,000000,24.52,24.54,24.52,24.5295,4200,0
MYCK.US,D,20241202,000000,24.53,24.5849,24.53,24.5849,3642,0
MYCK.US,D,20241203,000000,24.59,24.59,24.53,24.53,145,0
MYCK.US,D,20241205,000000,24.57,24.5914,24.57,24.5914,472,0
MYCK.US,D,20241210,000000,24.59,24.62,24.59,24.595,965,0
MYCK.US,D,20241211,000000,24.5899,24.5899,24.5683,24.5683,350,0
MYCK.US,D,20241212,000000,24.52,24.52,24.481,24.481,100,0
MYCK.US,D,20241216,000000,24.43,24.44,24.4299,24.4299,350,0
MYCK.US,D,20241217,000000,24.43,24.44,24.4188,24.4188,673,0
MYCK.US,D,20241218,000000,24.4399,24.4399,24.2015,24.2015,580,0
MYCK.US,D,20241219,000000,24.09,24.09,24.0356,24.0356,13356,0
MYCK.US,D,20241220,000000,24.13,24.14,24.12,24.12,3889,0
MYCK.US,D,20241223,000000,24.08,24.08,24.0796,24.0796,252,0
MYCK.US,D,20241227,000000,24.13,24.13,24.09,24.09,8530,0
MYCK.US,D,20241230,000000,24.16,24.1797,24.15,24.1797,346,0
MYCK.US,D,20250103,000000,24.13,24.15,24.1094,24.1094,1339,0
MYCK.US,D,20250106,000000,24.1,24.1,24.0901,24.0901,204,0
MYCK.US,D,20250107,000000,24.09,24.09,24.03,24.03,208,0
MYCK.US,D,20250108,000000,24.06,24.07,24.05,24.05,622,0
MYCK.US,D,20250110,000000,24.03,24.03,23.88,23.8826,14376,0
MYCK.US,D,20250113,000000,23.88,23.88,23.8405,23.8405,1620,0
MYCK.US,D,20250116,000000,24.16,24.16,24.1406,24.1406,3772,0
MYCK.US,D,20250117,000000,24.16,24.16,24.1311,24.1311,1800,0
MYCK.US,D,20250122,000000,24.15,24.15,24.1441,24.1441,299,0
MYCK.US,D,20250123,000000,24.15,24.15,24.15,24.15,194,0
MYCK.US,D,20250124,000000,24.19,24.19,24.19,24.19,207,0
MYCK.US,D,20250127,000000,24.2565,24.31,24.2565,24.31,5691,0
MYCK.US,D,20250129,000000,24.34,24.34,24.28,24.2951,12069,0
MYCK.US,D,20250130,000000,24.34,24.35,24.3297,24.3298,2481,0
MYCK.US,D,20250131,000000,24.34,24.34,24.2979,24.2979,213,0
MYCK.US,D,20250203,000000,24.2,24.21,24.184,24.184,538,0
MYCK.US,D,20250204,000000,24.2207,24.26,24.2207,24.2466,788,0
MYCK.US,D,20250206,000000,24.31,24.31,24.29,24.2971,780,0
MYCK.US,D,20250207,000000,24.231,24.231,24.2171,24.2171,243,0
MYCK.US,D,20250210,000000,24.25,24.25,24.231,24.231,253,0
MYCK.US,D,20250211,000000,24.1901,24.22,24.1901,24.21,1902,0
MYCK.US,D,20250220,000000,24.32,24.32,24.32,24.32,765,0
MYCK.US,D,20250224,000000,24.43,24.45,24.43,24.45,620,0
MYCK.US,D,20250225,000000,24.54,24.5568,24.54,24.55,1335,0
MYCK.US,D,20250227,000000,24.54,24.56,24.54,24.553,2611,0
MYCK.US,D,20250228,000000,24.6,24.6279,24.59,24.6279,600,0
