<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RKLX.US,D,20250313,000000,20.15,20.18,17.7071,18.1603,27213,0
RKLX.US,D,20250314,000000,19.316,20.8,18.9,20.5916,46202,0
RKLX.US,D,20250317,000000,21.39,23,20.8,21.2778,35647,0
RKLX.US,D,20250318,000000,19.91,19.91,18.8,18.8,11134,0
RKLX.US,D,20250319,000000,19.065,20.97,18.44,20.45,5595,0
RKLX.US,D,20250320,000000,19.61,20.3196,19.31,19.87,14070,0
RKLX.US,D,20250321,000000,18.81,20.78,18.81,20.78,31341,0
RKLX.US,D,20250324,000000,23,23.99,22.65,23.44,66863,0
RKLX.US,D,20250325,000000,24.02,24.02,22.12,23.65,22630,0
RKLX.US,D,20250326,000000,23.21,23.6,21.63,21.63,22664,0
RKLX.US,D,20250327,000000,19.97,21.209,19.18,19.37,33943,0
RKLX.US,D,20250328,000000,21.73,22.125,19.436,19.8,95554,0
RKLX.US,D,20250331,000000,18.1,19.09,17.08,18.15,77838,0
RKLX.US,D,20250401,000000,17.97,20,16.75,18.8,32469,0
RKLX.US,D,20250402,000000,17.68,21.97,17.375,21.2,77028,0
RKLX.US,D,20250403,000000,17.58,18.8,17.07,18.01,31571,0
RKLX.US,D,20250404,000000,16.235,16.93,11.4426,14.97,236672,0
RKLX.US,D,20250407,000000,11.93,18.235,11.93,16.92,152663,0
RKLX.US,D,20250408,000000,19.26,20.61,15.541,16.26,46805,0
RKLX.US,D,20250409,000000,16.54,24.06,16.54,22.64,164666,0
RKLX.US,D,20250410,000000,21.07,23.07,19.369,20.49,49832,0
RKLX.US,D,20250411,000000,20.55,21.2,19.068,20.68,22553,0
