<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRO.US,D,20240402,000000,25.08,25.08,24.8549,24.8549,597,0
INRO.US,D,20240403,000000,24.76,24.95,24.76,24.924,528,0
INRO.US,D,20240404,000000,25.17,25.17,24.5791,24.5791,1909,0
INRO.US,D,20240405,000000,24.74,24.8625,24.74,24.8625,1223,0
INRO.US,D,20240408,000000,24.88,24.88,24.88,24.88,72,0
INRO.US,D,20240409,000000,24.855,24.9088,24.855,24.9088,176,0
INRO.US,D,20240410,000000,24.6557,24.6557,24.6557,24.6557,9,0
INRO.US,D,20240411,000000,24.88,24.88,24.8551,24.8551,156,0
INRO.US,D,20240412,000000,24.4574,24.4574,24.4574,24.4574,110,0
INRO.US,D,20240415,000000,24.0932,24.0932,24.0932,24.0932,7,0
INRO.US,D,20240416,000000,24.08,24.08,24.0513,24.0513,280,0
INRO.US,D,20240417,000000,23.98,23.98,23.81,23.8559,402,0
INRO.US,D,20240418,000000,23.919,23.919,23.815,23.815,400,0
INRO.US,D,20240419,000000,23.81,23.81,23.35,23.41,400,0
INRO.US,D,20240422,000000,23.4,23.6035,23.4,23.6035,1100,0
INRO.US,D,20240423,000000,23.9201,23.9875,23.9201,23.9875,1006,0
INRO.US,D,20240424,000000,24.0623,24.0623,24.0623,24.0623,27,0
INRO.US,D,20240425,000000,23.76,23.9395,23.76,23.9395,1368,0
INRO.US,D,20240426,000000,24.32,24.3294,24.32,24.3294,500,0
INRO.US,D,20240429,000000,24.47,24.47,24.35,24.4029,663,0
INRO.US,D,20240430,000000,23.9474,23.9474,23.9474,23.9474,24,0
INRO.US,D,20240501,000000,23.8239,23.8239,23.8239,23.8239,30,0
INRO.US,D,20240502,000000,24.02,24.02,24.02,24.02,151,0
INRO.US,D,20240503,000000,24.3599,24.3599,24.3538,24.3538,228,0
INRO.US,D,20240506,000000,24.56,24.6336,24.56,24.6336,529,0
INRO.US,D,20240507,000000,24.66,24.67,24.6263,24.6263,379,0
INRO.US,D,20240508,000000,24.5759,24.5759,24.5759,24.5759,1,0
