<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVIIR.US,D,20221031,000000,0.13,0.2,0.13,0.1601,283800,0
SVIIR.US,D,20221102,000000,0.1601,0.1601,0.16,0.16,1200,0
SVIIR.US,D,20221103,000000,0.1501,0.18,0.15,0.16,461500,0
SVIIR.US,D,20221107,000000,0.1722,0.1722,0.165,0.17,1252676,0
SVIIR.US,D,20221108,000000,0.165,0.1725,0.1576,0.1576,196705,0
SVIIR.US,D,20221109,000000,0.165,0.173,0.16,0.16,358000,0
SVIIR.US,D,20221110,000000,0.17,0.17,0.16,0.16,100302,0
SVIIR.US,D,20221111,000000,0.16,0.16,0.1599,0.1599,97001,0
SVIIR.US,D,20221115,000000,0.1592,0.16,0.1538,0.155,244400,0
SVIIR.US,D,20221116,000000,0.14,0.16,0.14,0.16,25800,0
SVIIR.US,D,20221118,000000,0.15,0.15,0.15,0.15,1406,0
SVIIR.US,D,20221121,000000,0.15,0.15,0.15,0.15,300,0
SVIIR.US,D,20221201,000000,0.15,0.15,0.15,0.15,10000,0
SVIIR.US,D,20221205,000000,0.16,0.17,0.15,0.15,11400,0
SVIIR.US,D,20221206,000000,0.15,0.15,0.1451,0.1452,1200,0
SVIIR.US,D,20221207,000000,0.19,0.19,0.19,0.19,463,0
SVIIR.US,D,20221208,000000,0.15,0.165,0.15,0.165,18800,0
SVIIR.US,D,20221209,000000,0.15,0.185,0.1499,0.15,169752,0
SVIIR.US,D,20221212,000000,0.1505,0.165,0.15,0.16,40321,0
SVIIR.US,D,20221213,000000,0.1648,0.1718,0.1636,0.1718,9800,0
SVIIR.US,D,20221214,000000,0.16,0.1701,0.16,0.165,15300,0
SVIIR.US,D,20221215,000000,0.16,0.1701,0.16,0.164199,89897,0
SVIIR.US,D,20221219,000000,0.17,0.17,0.17,0.17,5000,0
SVIIR.US,D,20221220,000000,0.16,0.16,0.16,0.16,12600,0
SVIIR.US,D,20221221,000000,0.16,0.16,0.16,0.16,400,0
SVIIR.US,D,20221223,000000,0.1505,0.1675,0.15,0.1675,100750,0
SVIIR.US,D,20221227,000000,0.1576,0.1576,0.1559,0.1574,28422,0
SVIIR.US,D,20221228,000000,0.17,0.1701,0.17,0.1701,4000,0
SVIIR.US,D,20221230,000000,0.17,0.17,0.17,0.17,1000,0
SVIIR.US,D,20230103,000000,0.18,0.19,0.18,0.18,6566,0
SVIIR.US,D,20230106,000000,0.17,0.17,0.17,0.17,24837,0
SVIIR.US,D,20230109,000000,0.2,0.2,0.18,0.18,2001,0
SVIIR.US,D,20230110,000000,0.2,0.2,0.19,0.19,7000,0
SVIIR.US,D,20230111,000000,0.19,0.21,0.19,0.2,9502,0
SVIIR.US,D,20230113,000000,0.2,0.2,0.18,0.19,57218,0
SVIIR.US,D,20230119,000000,0.199899,0.199899,0.199899,0.199899,634,0
SVIIR.US,D,20230123,000000,0.1702,0.1702,0.1702,0.1702,3743,0
SVIIR.US,D,20230124,000000,0.1919,0.1919,0.19,0.19,2420,0
SVIIR.US,D,20230125,000000,0.19,0.19,0.19,0.19,17936,0
SVIIR.US,D,20230131,000000,0.19,0.1919,0.19,0.1919,1186,0
SVIIR.US,D,20230203,000000,0.192101,0.192101,0.1702,0.1702,1500,0
SVIIR.US,D,20230215,000000,0.2,0.2,0.2,0.2,5100,0
SVIIR.US,D,20230228,000000,0.22,0.22,0.2,0.2,2400,0
SVIIR.US,D,20230310,000000,0.2,0.2,0.2,0.2,4549,0
SVIIR.US,D,20230315,000000,0.19,0.2,0.1709,0.2,129307,0
SVIIR.US,D,20230321,000000,0.2,0.2,0.195,0.2,331718,0
SVIIR.US,D,20230403,000000,0.2,0.2,0.2,0.2,81125,0
SVIIR.US,D,20230404,000000,0.2,0.20001,0.2,0.20001,1004,0
SVIIR.US,D,20230410,000000,0.2,0.2,0.2,0.2,31016,0
SVIIR.US,D,20230411,000000,0.2,0.2,0.2,0.2,17695,0
SVIIR.US,D,20230413,000000,0.2,0.2,0.2,0.2,1603,0
SVIIR.US,D,20230421,000000,0.2,0.2,0.199899,0.1999,24750,0
SVIIR.US,D,20230424,000000,0.26,0.26,0.1643,0.1832,4022,0
SVIIR.US,D,20230425,000000,0.2358,0.2469,0.15,0.16,49578,0
SVIIR.US,D,20230502,000000,0.16,0.16,0.16,0.16,33606,0
SVIIR.US,D,20230509,000000,0.23,0.23,0.1202,0.17,4611,0
SVIIR.US,D,20230510,000000,0.1763,0.2197,0.16,0.16,35096,0
SVIIR.US,D,20230511,000000,0.24,0.29,0.16,0.1742,14800,0
SVIIR.US,D,20230512,000000,0.24,0.29,0.195,0.195,35149,0
SVIIR.US,D,20230515,000000,0.1958,0.1968,0.1318,0.155,17800,0
SVIIR.US,D,20230516,000000,0.16,0.21,0.1268,0.1394,38887,0
SVIIR.US,D,20230517,000000,0.12,0.141,0.12,0.12,3343,0
SVIIR.US,D,20230518,000000,0.17,0.1826,0.12,0.12,34941,0
SVIIR.US,D,20230522,000000,0.1596,0.16,0.12,0.13,89207,0
SVIIR.US,D,20230523,000000,0.1476,0.157,0.1476,0.157,10000,0
SVIIR.US,D,20230526,000000,0.125,0.125,0.125,0.125,150006,0
SVIIR.US,D,20230607,000000,0.13,0.14,0.13,0.1307,215760,0
SVIIR.US,D,20230609,000000,0.15,0.15,0.15,0.15,600,0
SVIIR.US,D,20230612,000000,0.15,0.15,0.15,0.15,152200,0
SVIIR.US,D,20230613,000000,0.13,0.13,0.13,0.13,506,0
SVIIR.US,D,20230614,000000,0.1301,0.1301,0.1301,0.1301,100,0
SVIIR.US,D,20230616,000000,0.14,0.15,0.14,0.15,620,0
SVIIR.US,D,20230620,000000,0.146,0.146,0.146,0.146,600,0
SVIIR.US,D,20230621,000000,0.15,0.15,0.1483,0.1483,600,0
SVIIR.US,D,20230628,000000,0.15,0.15,0.14,0.15,2500,0
SVIIR.US,D,20230705,000000,0.1988,0.1988,0.1404,0.1467,1302,0
SVIIR.US,D,20230707,000000,0.2388,0.2388,0.1779,0.1779,1740,0
SVIIR.US,D,20230711,000000,0.16,0.16,0.1301,0.1301,659,0
SVIIR.US,D,20230712,000000,0.14,0.15,0.14,0.15,31299,0
SVIIR.US,D,20230714,000000,0.1543,0.1543,0.15,0.1515,3200,0
SVIIR.US,D,20230717,000000,0.1504,0.1547,0.1504,0.1547,200,0
SVIIR.US,D,20230720,000000,0.1554,0.1554,0.15,0.15,1500,0
SVIIR.US,D,20230724,000000,0.15,0.15,0.15,0.15,590,0
SVIIR.US,D,20230811,000000,0.1675,0.18,0.1675,0.18,9500,0
SVIIR.US,D,20230831,000000,0.157628,0.157628,0.157628,0.157628,208,0
SVIIR.US,D,20230912,000000,0.1537,0.1537,0.1448,0.1448,9100,0
SVIIR.US,D,20230915,000000,0.14,0.1481,0.14,0.14,30000,0
SVIIR.US,D,20230919,000000,0.1499,0.1499,0.1499,0.1499,200,0
SVIIR.US,D,20230928,000000,0.15,0.15,0.1401,0.15,10000,0
SVIIR.US,D,20231003,000000,0.14,0.14,0.14,0.14,62512,0
SVIIR.US,D,20231010,000000,0.1401,0.1402,0.1401,0.1402,2000,0
SVIIR.US,D,20231012,000000,0.15,0.1567,0.1401,0.142,58900,0
SVIIR.US,D,20231018,000000,0.142,0.142,0.1401,0.1401,20501,0
SVIIR.US,D,20231023,000000,0.1401,0.1401,0.1401,0.1401,9303,0
SVIIR.US,D,20231025,000000,0.1401,0.1401,0.14,0.14,38765,0
SVIIR.US,D,20231031,000000,0.14,0.14,0.1356,0.1356,599,0
SVIIR.US,D,20231122,000000,0.0282,0.148,0.0282,0.1233,5711,0
SVIIR.US,D,20231127,000000,0.1356,0.1356,0.1,0.1,355,0
SVIIR.US,D,20231128,000000,0.09,0.09,0.09,0.09,40999,0
SVIIR.US,D,20231129,000000,0.08,0.08,0.08,0.08,55200,0
SVIIR.US,D,20231130,000000,0.07,0.1,0.065,0.1,54293,0
SVIIR.US,D,20231201,000000,0.0201,0.1381,0.0201,0.115001,5580,0
SVIIR.US,D,20231204,000000,0.1105,0.1178,0.095,0.095,119036,0
SVIIR.US,D,20231205,000000,0.09,0.095,0.09,0.095,134676,0
SVIIR.US,D,20231206,000000,0.0206,0.1,0.0206,0.1,1443,0
SVIIR.US,D,20231207,000000,0.11,0.11,0.0959,0.0972,200634,0
SVIIR.US,D,20231211,000000,0.0995,0.0996,0.0932,0.0945,1180,0
SVIIR.US,D,20231212,000000,0.0967,0.0968,0.0842,0.0843,205200,0
SVIIR.US,D,20231213,000000,0.0863,0.0864,0.0816,0.082,1000,0
SVIIR.US,D,20231214,000000,0.0842,0.13,0.0842,0.13,328751,0
SVIIR.US,D,20231215,000000,0.11,0.11,0.11,0.11,1182,0
SVIIR.US,D,20231220,000000,0.1138,0.1138,0.1138,0.1138,100,0
SVIIR.US,D,20231226,000000,0.019,0.14,0.019,0.14,1100,0
SVIIR.US,D,20240102,000000,0.1345,0.14,0.1345,0.1388,25801,0
SVIIR.US,D,20240103,000000,0.1334,0.15,0.1331,0.14,51711,0
SVIIR.US,D,20240104,000000,0.1409,0.1409,0.0952,0.125,12300,0
SVIIR.US,D,20240105,000000,0.125,0.125,0.125,0.125,600,0
SVIIR.US,D,20240109,000000,0.15,0.16,0.15,0.16,750100,0
SVIIR.US,D,20240110,000000,0.17,0.17,0.13,0.13,480,0
SVIIR.US,D,20240111,000000,0.1301,0.1373,0.13,0.13,10627,0
SVIIR.US,D,20240112,000000,0.1429,0.17,0.1429,0.17,20600,0
SVIIR.US,D,20240116,000000,0.155,0.155,0.15,0.15,650,0
SVIIR.US,D,20240117,000000,0.1799,0.1799,0.155,0.155,1852,0
SVIIR.US,D,20240118,000000,0.1301,0.2,0.1301,0.2,1387,0
SVIIR.US,D,20240119,000000,0.1809,0.2,0.13,0.175,23508,0
SVIIR.US,D,20240122,000000,0.143,0.1822,0.1409,0.1409,871,0
SVIIR.US,D,20240124,000000,0.15,0.15,0.15,0.15,522000,0
SVIIR.US,D,20240125,000000,0.148,0.15,0.1401,0.15,57804,0
SVIIR.US,D,20240129,000000,0.149,0.1501,0.149,0.15,102679,0
SVIIR.US,D,20240130,000000,0.1411,0.1411,0.1405,0.141,8535,0
SVIIR.US,D,20240131,000000,0.1355,0.14,0.1355,0.14,25236,0
SVIIR.US,D,20240201,000000,0.1342,0.1342,0.1342,0.1342,100,0
SVIIR.US,D,20240205,000000,0.13,0.1301,0.13,0.13,20847,0
SVIIR.US,D,20240207,000000,0.1394,0.1399,0.13,0.1399,21777,0
SVIIR.US,D,20240212,000000,0.1387,0.1387,0.1387,0.1387,100,0
SVIIR.US,D,20240213,000000,0.1362,0.1362,0.1362,0.1362,100,0
SVIIR.US,D,20240214,000000,0.1364,0.1364,0.1364,0.1364,100,0
SVIIR.US,D,20240215,000000,0.1366,0.1366,0.1366,0.1366,100,0
SVIIR.US,D,20240216,000000,0.1399,0.1399,0.1301,0.1331,4887,0
