<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVAWW.US,D,20240725,000000,1.7,3.12,1.28,3.12,101194,0
NVAWW.US,D,20240726,000000,2.17,2.19,1.045,1.93,31619,0
NVAWW.US,D,20240729,000000,2.31,2.4,1.13,1.52,84171,0
NVAWW.US,D,20240730,000000,1.54,1.565,1.43,1.51,1244,0
NVAWW.US,D,20240731,000000,1.27,1.5924,1.27,1.3901,8709,0
NVAWW.US,D,20240801,000000,1.71,1.71,1.26,1.26,252,0
NVAWW.US,D,20240802,000000,1.68,1.68,1.36,1.36,1839,0
NVAWW.US,D,20240805,000000,1.11,1.15,1.1,1.1,1906,0
NVAWW.US,D,20240806,000000,1.25,1.3,1.25,1.3,510,0
NVAWW.US,D,20240807,000000,1.3,1.32,1.3,1.3,1044,0
NVAWW.US,D,20240808,000000,1.65,1.65,1.22,1.415,2272,0
NVAWW.US,D,20240812,000000,1.32,1.51,1.31,1.51,5611,0
NVAWW.US,D,20240813,000000,1.83,1.98,1.7,1.7,5333,0
NVAWW.US,D,20240814,000000,1.3,1.3,1.3,1.3,305,0
NVAWW.US,D,20240815,000000,1.22,1.53,1.22,1.53,9920,0
NVAWW.US,D,20240816,000000,1.61,1.69,1.61,1.69,2970,0
NVAWW.US,D,20240819,000000,1.69,1.75,1.69,1.69,712,0
NVAWW.US,D,20240820,000000,1.69,1.73,0.86,0.86,13351,0
NVAWW.US,D,20240821,000000,1.75,1.75,1.21,1.6,9813,0
NVAWW.US,D,20240822,000000,1.22,1.72,1.22,1.72,6219,0
NVAWW.US,D,20240823,000000,1.6,1.75,1.3,1.32,8993,0
NVAWW.US,D,20240826,000000,1.6,1.74,1.53,1.74,780,0
NVAWW.US,D,20240827,000000,1.7,1.7,1.41,1.41,354,0
NVAWW.US,D,20240828,000000,1.41,1.41,1.41,1.41,161,0
NVAWW.US,D,20240829,000000,1.6073,1.9,1.42,1.47,10504,0
NVAWW.US,D,20240830,000000,1.76,1.84,1.41,1.455,18087,0
NVAWW.US,D,20240904,000000,1.44,1.44,1.44,1.44,1259,0
NVAWW.US,D,20240906,000000,1.46,1.46,1.45,1.46,3302,0
NVAWW.US,D,20240909,000000,1.46,1.46,1.46,1.46,1056,0
NVAWW.US,D,20240910,000000,1.725,1.8,1.46,1.5,14223,0
NVAWW.US,D,20240911,000000,1.78,1.78,1.61,1.61,2524,0
NVAWW.US,D,20240912,000000,1.69,1.9,1.69,1.9,2754,0
NVAWW.US,D,20240916,000000,1.8,1.8,1.6,1.6,753,0
NVAWW.US,D,20240917,000000,1.7,1.7,1.7,1.7,2612,0
NVAWW.US,D,20240919,000000,1.5,1.5,1.5,1.5,1400,0
NVAWW.US,D,20240923,000000,1.53,1.53,1.01,1.21,12441,0
NVAWW.US,D,20240924,000000,1.3,1.31,1.3,1.31,411,0
NVAWW.US,D,20240925,000000,1.35,1.35,1.35,1.35,370,0
NVAWW.US,D,20240926,000000,1.53,1.53,1.4,1.49,2279,0
NVAWW.US,D,20240927,000000,1.36,1.4,1.36,1.36,960,0
NVAWW.US,D,20240930,000000,1.3997,1.3997,1.24,1.26,1026,0
NVAWW.US,D,20241002,000000,1.45,1.5,1.26,1.26,3757,0
NVAWW.US,D,20241004,000000,1.59,1.8,1.37,1.68,3928,0
NVAWW.US,D,20241007,000000,1.52,1.625,1.45,1.625,1155,0
NVAWW.US,D,20241008,000000,1.8,2,1.52,1.52,4993,0
NVAWW.US,D,20241009,000000,1.7,1.7999,1.51,1.51,1054,0
NVAWW.US,D,20241011,000000,1.56,1.56,1.56,1.56,546,0
NVAWW.US,D,20241014,000000,1.77,1.8,1.77,1.8,1167,0
NVAWW.US,D,20241015,000000,1.85,1.85,0.9911,1.15,31809,0
NVAWW.US,D,20241016,000000,1.25,1.55,1.22,1.22,14630,0
NVAWW.US,D,20241017,000000,1.5,1.56,1.5,1.5,12056,0
NVAWW.US,D,20241018,000000,1.52,1.7999,1.5,1.65,3092,0
NVAWW.US,D,20241021,000000,1.68,1.68,1.68,1.68,483,0
NVAWW.US,D,20241022,000000,1.8,1.8,1.675,1.74,28136,0
