<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILAG.US,D,20220713,000000,22.01,26.4,5.72,6.12,7157924,0
ILAG.US,D,20220714,000000,5.65,5.78,2.21,2.54,6944084,0
ILAG.US,D,20220715,000000,2.6,2.84,2.22,2.25,7170487,0
ILAG.US,D,20220718,000000,3.08,4.38,3.0209,3.1,107407030,0
ILAG.US,D,20220719,000000,2.88,3.34,2.86,3.17,8127455,0
ILAG.US,D,20220720,000000,3.05,3.17,2.852,2.93,1905704,0
ILAG.US,D,20220721,000000,2.76,2.83,2.5,2.66,1691957,0
ILAG.US,D,20220722,000000,2.44,2.5,2.13,2.18,1096669,0
ILAG.US,D,20220725,000000,2.18,2.2,2.02,2.13,915534,0
ILAG.US,D,20220726,000000,2.01,2.05,1.8,1.83,975925,0
ILAG.US,D,20220727,000000,1.73,1.964,1.73,1.78,842166,0
ILAG.US,D,20220728,000000,1.76,2.24,1.65,1.99,4203599,0
ILAG.US,D,20220729,000000,1.98,2.35,1.95,2.02,3211142,0
ILAG.US,D,20220801,000000,1.97,1.9999,1.8,1.88,1541393,0
ILAG.US,D,20220802,000000,2.49,3.95,2.16,3.33,49934338,0
ILAG.US,D,20220803,000000,3,3.25,2.28,2.32,5824219,0
ILAG.US,D,20220804,000000,2.22,2.4499,2.1,2.19,1385123,0
ILAG.US,D,20220805,000000,2.15,3.85,2.02,3.6,69064148,0
ILAG.US,D,20220808,000000,4.14,7.28,3.75,5.07,86970782,0
ILAG.US,D,20220809,000000,4.32,4.67,3.43,3.63,6739550,0
ILAG.US,D,20220810,000000,3.14,3.73,3.02,3.26,2857805,0
ILAG.US,D,20220811,000000,3.23,3.97,3.17,3.31,3758515,0
ILAG.US,D,20220812,000000,3.26,3.3799,2.72,2.72,1696967,0
ILAG.US,D,20220815,000000,2.85,4.387,2.79,3.4,28167349,0
ILAG.US,D,20220816,000000,3.42,3.89,3.25,3.39,3420253,0
ILAG.US,D,20220817,000000,3.28,3.3,2.96,3.15,969617,0
ILAG.US,D,20220818,000000,3.12,3.6,3.1,3.19,3770712,0
ILAG.US,D,20220819,000000,3.21,3.35,3.06,3.15,2633061,0
ILAG.US,D,20220822,000000,3.02,3.16,2.84,2.87,883576,0
ILAG.US,D,20220823,000000,3.45,3.72,3.11,3.14,19391675,0
ILAG.US,D,20220824,000000,3.03,3.14,2.95,3.02,858745,0
ILAG.US,D,20220825,000000,3,3.38,2.99,3.09,1421977,0
ILAG.US,D,20220826,000000,3.12,3.23,2.86,2.93,818589,0
ILAG.US,D,20220829,000000,2.85,2.9273,2.53,2.559,533394,0
ILAG.US,D,20220830,000000,2.64,2.64,2.29,2.2905,342765,0
ILAG.US,D,20220831,000000,2.35,2.62,2.2931,2.49,2345250,0
ILAG.US,D,20220901,000000,2.47,2.57,2.29,2.3,436380,0
ILAG.US,D,20220902,000000,2.3,2.41,2.11,2.14,363277,0
ILAG.US,D,20220906,000000,2.13,2.13,2,2.02,207595,0
ILAG.US,D,20220907,000000,2.02,2.07,1.96,2.03,322862,0
ILAG.US,D,20220908,000000,2.04,2.0407,1.96,2.03,201765,0
ILAG.US,D,20220909,000000,2.07,2.14,2.02,2.04,258927,0
ILAG.US,D,20220912,000000,2.08,2.11,1.97,2.06,692563,0
ILAG.US,D,20220913,000000,1.99,2.06,1.81,1.84,378478,0
ILAG.US,D,20220914,000000,1.87,2.14,1.68,2.09,2979787,0
ILAG.US,D,20220915,000000,2.04,2.2,1.81,1.83,1815328,0
ILAG.US,D,20220916,000000,1.83,1.86,1.73,1.85,269540,0
ILAG.US,D,20220919,000000,1.81,1.82,1.66,1.68,278504,0
ILAG.US,D,20220920,000000,1.66,1.7,1.62,1.62,282947,0
ILAG.US,D,20220921,000000,1.61,1.64,1.4906,1.62,557969,0
ILAG.US,D,20220922,000000,1.5743,1.78,1.57,1.74,326180,0
ILAG.US,D,20220923,000000,1.71,1.93,1.71,1.83,563634,0
ILAG.US,D,20220926,000000,1.83,2.13,1.74,2.04,1769301,0
ILAG.US,D,20220927,000000,2.34,2.76,2.3,2.62,16501941,0
ILAG.US,D,20220928,000000,2.57,2.95,2.4,2.83,3054150,0
ILAG.US,D,20220929,000000,2.81,3.19,2.71,2.98,1828556,0
ILAG.US,D,20220930,000000,2.9,3.4875,2.74,2.75,2340243,0
ILAG.US,D,20221003,000000,2.74,3.2507,2.66,2.79,1206522,0
ILAG.US,D,20221004,000000,2.8,3.25,2.8,3.24,999097,0
ILAG.US,D,20221005,000000,3.13,3.49,3.08,3.38,1275815,0
ILAG.US,D,20221006,000000,3.28,3.6055,3.16,3.56,1094311,0
ILAG.US,D,20221007,000000,3.5,3.73,3.3911,3.71,790256,0
ILAG.US,D,20221010,000000,3.7,5.25,3.58,4.81,8890559,0
