<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QNXT.US,D,20241028,000000,25.01,25.0652,24.95,24.962,71754,0
QNXT.US,D,20241029,000000,25,25.169,24.89,25.1074,25293,0
QNXT.US,D,20241030,000000,24.95,24.999,24.8584,24.8598,20954,0
QNXT.US,D,20241031,000000,24.83,24.83,24.4899,24.49,21410,0
QNXT.US,D,20241101,000000,24.609,24.8,24.59,24.7,11224,0
QNXT.US,D,20241104,000000,24.6,24.76,24.53,24.69,11978,0
QNXT.US,D,20241105,000000,24.75,24.9208,24.75,24.9208,15822,0
QNXT.US,D,20241106,000000,25.39,25.5512,25.27,25.54,15987,0
QNXT.US,D,20241107,000000,25.71,25.85,25.6537,25.8,11451,0
QNXT.US,D,20241108,000000,25.705,25.7446,25.68,25.7446,7998,0
QNXT.US,D,20241111,000000,25.8,25.85,25.76,25.8269,16849,0
QNXT.US,D,20241112,000000,25.76,25.76,25.541,25.674,6897,0
QNXT.US,D,20241113,000000,25.67,25.76,25.61,25.67,8900,0
QNXT.US,D,20241114,000000,25.69,25.69,25.4354,25.47,5274,0
QNXT.US,D,20241115,000000,25.3,25.3,24.85,24.86,4462,0
QNXT.US,D,20241118,000000,24.95,25.0959,24.95,25.03,6542,0
QNXT.US,D,20241119,000000,24.9,25.06,24.9,25.06,19113,0
QNXT.US,D,20241120,000000,25.06,25.1328,24.88,25.1328,10756,0
QNXT.US,D,20241121,000000,25.32,25.6,25.22,25.5715,6969,0
QNXT.US,D,20241122,000000,25.6898,25.8451,25.6805,25.8451,3539,0
QNXT.US,D,20241125,000000,26.1699,26.1699,26.05,26.116,3895,0
QNXT.US,D,20241126,000000,26.21,26.21,25.97,26.0316,5919,0
QNXT.US,D,20241127,000000,25.8374,25.8375,25.71,25.8,3682,0
QNXT.US,D,20241129,000000,25.82,25.93,25.82,25.91,896,0
QNXT.US,D,20241202,000000,25.93,26.1198,25.93,26.066,3312,0
QNXT.US,D,20241203,000000,25.98,26,25.9475,25.9541,3977,0
QNXT.US,D,20241204,000000,26.2,26.2666,26.13,26.2666,4666,0
QNXT.US,D,20241205,000000,26.152,26.16,25.89,25.9,7930,0
QNXT.US,D,20241206,000000,25.995,26.07,25.9935,26.01,4263,0
QNXT.US,D,20241209,000000,26.145,26.145,25.84,25.84,6070,0
QNXT.US,D,20241210,000000,25.84,25.84,25.494,25.56,12308,0
QNXT.US,D,20241211,000000,25.72,25.81,25.7157,25.7801,3028,0
QNXT.US,D,20241212,000000,25.79,25.82,25.73,25.73,2784,0
QNXT.US,D,20241213,000000,25.64,25.74,25.6,25.64,4833,0
QNXT.US,D,20241216,000000,25.75,25.77,25.6774,25.6774,1729,0
QNXT.US,D,20241217,000000,25.58,25.58,25.4599,25.47,3474,0
