<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSRH.US,D,20230322,000000,10.11,10.11,10.1,10.1,139600,0
OSRH.US,D,20230323,000000,10.11,10.11,10.1,10.1,111291,0
OSRH.US,D,20230324,000000,10.1,10.11,10.1,10.11,916,0
OSRH.US,D,20230327,000000,10.13,10.13,10.11,10.11,11166,0
OSRH.US,D,20230328,000000,10.11,10.11,10.1,10.1,9295,0
OSRH.US,D,20230329,000000,10.095,10.1,10.09,10.1,126373,0
OSRH.US,D,20230330,000000,10.095,10.095,10.09,10.09,118300,0
OSRH.US,D,20230331,000000,10.09,10.1,10.09,10.1,91224,0
OSRH.US,D,20230403,000000,10.12,10.12,10.09,10.0984,52879,0
OSRH.US,D,20230404,000000,10.1,10.11,10.09,10.09,23357,0
OSRH.US,D,20230405,000000,10.11,10.11,10.1,10.1,90502,0
OSRH.US,D,20230406,000000,10.1,10.1,10.1,10.1,821,0
OSRH.US,D,20230411,000000,10.11,10.11,10.11,10.11,950,0
OSRH.US,D,20230412,000000,10.115,10.115,10.11,10.11,47922,0
OSRH.US,D,20230413,000000,10.11,10.11,10.11,10.11,1618,0
OSRH.US,D,20230417,000000,10.11,10.11,10.11,10.11,816,0
OSRH.US,D,20230419,000000,10.11,10.11,10.11,10.11,600,0
OSRH.US,D,20230420,000000,10.12,10.13,10.115,10.13,11017,0
OSRH.US,D,20230427,000000,10.11,10.13,10.11,10.11,1004,0
OSRH.US,D,20230501,000000,10.13,10.13,10.13,10.13,5083,0
OSRH.US,D,20230502,000000,10.13,10.13,10.13,10.13,2360,0
OSRH.US,D,20230503,000000,10.145,10.3,10.14,10.14,18924,0
OSRH.US,D,20230504,000000,10.14,10.16,10.14,10.16,300,0
OSRH.US,D,20230505,000000,10.13,10.525,10.13,10.145,10592,0
OSRH.US,D,20230508,000000,10.15,10.16,10.15,10.15,1076,0
OSRH.US,D,20230509,000000,10.15,10.15,10.15,10.15,2099,0
OSRH.US,D,20230510,000000,10.15,10.15,10.15,10.15,983,0
OSRH.US,D,20230515,000000,10.18,10.18,10.18,10.18,68738,0
OSRH.US,D,20230516,000000,10.18,10.18,10.18,10.18,1343,0
OSRH.US,D,20230517,000000,10.18,10.18,10.18,10.18,225,0
OSRH.US,D,20230518,000000,10.2,10.2,10.2,10.2,2174,0
OSRH.US,D,20230519,000000,10.17,10.1871,10.17,10.17,10446,0
OSRH.US,D,20230522,000000,10.19,10.1933,10.19,10.19,18928,0
OSRH.US,D,20230523,000000,10.195,10.2,10.195,10.2,4560,0
OSRH.US,D,20230524,000000,10.19,10.22,10.18,10.22,53347,0
