<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSPRW.US,D,20241210,000000,0.0037,0.0043,0.0015,0.0025,1006602,0
MSPRW.US,D,20241211,000000,0.0035,0.0035,0.0025,0.0031,650148,0
MSPRW.US,D,20241212,000000,0.003,0.0031,0.0015,0.0027,1384013,0
MSPRW.US,D,20241213,000000,0.0029,0.0029,0.0007,0.0018,3704663,0
MSPRW.US,D,20241216,000000,0.0028,0.0028,0.001,0.001,2059086,0
MSPRW.US,D,20241217,000000,0.0018,0.0018,0.001,0.0015,1524362,0
MSPRW.US,D,20241218,000000,0.0017,0.0028,0.0012,0.0014,1955373,0
MSPRW.US,D,20241219,000000,0.0019,0.0019,0.0012,0.0018,784987,0
MSPRW.US,D,20241220,000000,0.0024,0.0024,0.0014,0.0018,1012447,0
MSPRW.US,D,20241223,000000,0.0015,0.0026,0.0015,0.0015,870176,0
MSPRW.US,D,20241224,000000,0.0023,0.0023,0.0015,0.002,134272,0
MSPRW.US,D,20241226,000000,0.002,0.0023,0.0016,0.0023,364148,0
MSPRW.US,D,20241227,000000,0.0021,0.0023,0.0016,0.0019,410187,0
MSPRW.US,D,20241230,000000,0.0019,0.0028,0.0014,0.002,2473116,0
MSPRW.US,D,20241231,000000,0.0018,0.0035,0.0018,0.0032,2368060,0
MSPRW.US,D,20250102,000000,0.0035,0.0046,0.0031,0.0045,2469988,0
MSPRW.US,D,20250103,000000,0.003,0.0073,0.003,0.0047,2358690,0
MSPRW.US,D,20250106,000000,0.0055,0.006,0.003,0.0043,2118204,0
MSPRW.US,D,20250107,000000,0.003,0.005,0.003,0.0046,544090,0
MSPRW.US,D,20250108,000000,0.0049,0.005,0.003,0.003,1107380,0
MSPRW.US,D,20250110,000000,0.004,0.0047,0.0034,0.0039,835307,0
MSPRW.US,D,20250113,000000,0.004,0.005,0.004,0.0047,893476,0
MSPRW.US,D,20250114,000000,0.0046,0.0046,0.0032,0.0039,830994,0
MSPRW.US,D,20250115,000000,0.0048,0.0048,0.003,0.004,697472,0
MSPRW.US,D,20250116,000000,0.0046,0.0046,0.0034,0.004,185582,0
MSPRW.US,D,20250117,000000,0.0044,0.0046,0.003,0.0038,364052,0
MSPRW.US,D,20250121,000000,0.0032,0.0049,0.0032,0.0044,534499,0
MSPRW.US,D,20250122,000000,0.0033,0.0044,0.0033,0.0039,224958,0
MSPRW.US,D,20250123,000000,0.004,0.0042,0.0035,0.0039,311873,0
MSPRW.US,D,20250124,000000,0.0039,0.0045,0.0035,0.0045,401576,0
MSPRW.US,D,20250127,000000,0.0036,0.0046,0.0036,0.0044,57602,0
MSPRW.US,D,20250128,000000,0.0045,0.0049,0.0036,0.004,184052,0
MSPRW.US,D,20250129,000000,0.0046,0.0048,0.0039,0.0042,239808,0
MSPRW.US,D,20250130,000000,0.0036,0.0048,0.0036,0.0045,365369,0
MSPRW.US,D,20250131,000000,0.0045,0.0047,0.0036,0.0037,237411,0
MSPRW.US,D,20250203,000000,0.0036,0.0043,0.0033,0.0037,371683,0
MSPRW.US,D,20250204,000000,0.0041,0.00449,0.0033,0.0035,244446,0
MSPRW.US,D,20250205,000000,0.0033,0.0046,0.0033,0.0042,738143,0
MSPRW.US,D,20250206,000000,0.0033,0.0047,0.0033,0.004,946557,0
MSPRW.US,D,20250207,000000,0.0047,0.0047,0.0039,0.0043,341096,0
MSPRW.US,D,20250210,000000,0.0036,0.004,0.0036,0.0039,67551,0
MSPRW.US,D,20250211,000000,0.004,0.0046,0.0036,0.0045,165661,0
MSPRW.US,D,20250212,000000,0.0037,0.0047,0.0037,0.0047,451488,0
MSPRW.US,D,20250213,000000,0.0038,0.005,0.0038,0.0048,779190,0
MSPRW.US,D,20250214,000000,0.0047,0.0047,0.0038,0.0045,157334,0
MSPRW.US,D,20250218,000000,0.004,0.0047,0.0038,0.0047,270997,0
