<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MKDWW.US,D,20240802,000000,0.06,0.08,0.0502,0.0613,559984,0
MKDWW.US,D,20240805,000000,0.06655,0.06655,0.0613,0.0615,3552,0
MKDWW.US,D,20240806,000000,0.055,0.055,0.041,0.041,5570,0
MKDWW.US,D,20240807,000000,0.0599,0.0937,0.04,0.0936,195999,0
MKDWW.US,D,20240808,000000,0.0603,0.0603,0.0405,0.0414,2564,0
MKDWW.US,D,20240812,000000,0.04,0.04,0.04,0.04,689,0
MKDWW.US,D,20240813,000000,0.0551,0.0551,0.0551,0.0551,922,0
MKDWW.US,D,20240815,000000,0.0364,0.0364,0.0364,0.0364,1087,0
MKDWW.US,D,20240816,000000,0.0396,0.0399,0.0365,0.0365,2364,0
MKDWW.US,D,20240819,000000,0.0351,0.04755,0.0301,0.0351,5300,0
MKDWW.US,D,20240820,000000,0.0356,0.0356,0.0351,0.0351,2332,0
MKDWW.US,D,20240821,000000,0.0351,0.0351,0.0351,0.0351,141,0
MKDWW.US,D,20240823,000000,0.0399,0.0399,0.025,0.0251,8366,0
MKDWW.US,D,20240904,000000,0.0252,0.0252,0.025,0.025,6262,0
MKDWW.US,D,20240905,000000,0.0151,0.0239,0.014,0.02,12445,0
MKDWW.US,D,20240906,000000,0.0151,0.016,0.0111,0.016,27233,0
MKDWW.US,D,20240909,000000,0.04,0.04,0.0398,0.0398,1190,0
MKDWW.US,D,20240910,000000,0.038527,0.038527,0.0349,0.0349,846,0
MKDWW.US,D,20240916,000000,0.0251,0.03,0.0103,0.0112,276177,0
MKDWW.US,D,20240917,000000,0.0114,0.024899,0.0114,0.0155,11764,0
MKDWW.US,D,20240918,000000,0.015,0.015,0.015,0.015,145,0
MKDWW.US,D,20240920,000000,0.02,0.0259,0.0175,0.0237,711,0
MKDWW.US,D,20240923,000000,0.0183,0.0227,0.0183,0.0183,1709,0
MKDWW.US,D,20240925,000000,0.02,0.02,0.02,0.02,1000,0
MKDWW.US,D,20240926,000000,0.0183,0.0183,0.0183,0.0183,1277,0
MKDWW.US,D,20240927,000000,0.0183,0.0183,0.0183,0.0183,2002,0
MKDWW.US,D,20241008,000000,0.02,0.02,0.02,0.02,3100,0
MKDWW.US,D,20241011,000000,0.02,0.02,0.0184,0.0184,2422,0
MKDWW.US,D,20241018,000000,0.0184,0.0192,0.0184,0.0184,7037,0
MKDWW.US,D,20241105,000000,0.0184,0.0184,0.0132,0.0134,7392,0
MKDWW.US,D,20241113,000000,0.0198,0.0199,0.0198,0.0199,1000,0
MKDWW.US,D,20241120,000000,0.0134,0.013498,0.0134,0.013401,1702,0
MKDWW.US,D,20241125,000000,0.0197,0.0298,0.0109,0.0112,11989,0
MKDWW.US,D,20241127,000000,0.031,0.031,0.0212,0.0212,1467,0
MKDWW.US,D,20241129,000000,0.0122,0.0132,0.0112,0.0132,16569,0
MKDWW.US,D,20241203,000000,0.0134,0.0134,0.0134,0.0134,514,0
MKDWW.US,D,20241205,000000,0.0134,0.0134,0.0134,0.0134,428,0
MKDWW.US,D,20241210,000000,0.0229,0.0229,0.0229,0.0229,345,0
MKDWW.US,D,20241211,000000,0.031,0.031,0.024,0.024,5108,0
MKDWW.US,D,20241212,000000,0.03,0.03,0.020301,0.020301,5108,0
MKDWW.US,D,20241213,000000,0.0299,0.031,0.028,0.0307,19523,0
MKDWW.US,D,20241216,000000,0.033,0.0351,0.0206,0.0217,25311,0
MKDWW.US,D,20241217,000000,0.022,0.0319,0.022,0.0319,15203,0
MKDWW.US,D,20241224,000000,0.0347,0.04,0.0347,0.04,4000,0
MKDWW.US,D,20241226,000000,0.04,0.04,0.02,0.02,6397,0
MKDWW.US,D,20241227,000000,0.02,0.02,0.014,0.0152,17137,0
MKDWW.US,D,20241230,000000,0.04,0.04,0.0151,0.0156,203811,0
MKDWW.US,D,20250102,000000,0.0175,0.04,0.0175,0.018,12792,0
MKDWW.US,D,20250103,000000,0.016,0.0213,0.016,0.0167,98645,0
MKDWW.US,D,20250106,000000,0.0213,0.0234,0.018,0.0181,24850,0
MKDWW.US,D,20250107,000000,0.018,0.018,0.0179,0.017948,3189,0
MKDWW.US,D,20250108,000000,0.0151,0.0155,0.0151,0.0155,9360,0
MKDWW.US,D,20250110,000000,0.0249,0.0249,0.0237,0.0237,3681,0
MKDWW.US,D,20250115,000000,0.0155,0.0252,0.0155,0.016,27864,0
MKDWW.US,D,20250116,000000,0.0161,0.0211,0.016053,0.0176,26471,0
MKDWW.US,D,20250117,000000,0.0201,0.0209,0.02,0.0207,2020,0
MKDWW.US,D,20250122,000000,0.02,0.0201,0.0182,0.0182,686,0
MKDWW.US,D,20250123,000000,0.02,0.0201,0.0181,0.0181,2109,0
MKDWW.US,D,20250124,000000,0.02,0.0247,0.0162,0.0164,2963,0
MKDWW.US,D,20250128,000000,0.0163,0.0163,0.015,0.015,148236,0
MKDWW.US,D,20250129,000000,0.0151,0.0151,0.012,0.0132,63641,0
MKDWW.US,D,20250131,000000,0.0126,0.0127,0.0126,0.0127,1000,0
MKDWW.US,D,20250203,000000,0.0149,0.015,0.0133,0.0139,53332,0
MKDWW.US,D,20250205,000000,0.0127,0.0166,0.009,0.0101,234932,0
MKDWW.US,D,20250206,000000,0.0106,0.0106,0.01,0.01,76424,0
MKDWW.US,D,20250207,000000,0.01,0.0105,0.01,0.0105,25120,0
MKDWW.US,D,20250210,000000,0.0106,0.015,0.0106,0.0111,197769,0
MKDWW.US,D,20250211,000000,0.0156,0.0156,0.0148,0.0148,3100,0
MKDWW.US,D,20250213,000000,0.0141,0.0141,0.0141,0.0141,3000,0
MKDWW.US,D,20250219,000000,0.012,0.0121,0.012,0.012,61068,0
MKDWW.US,D,20250220,000000,0.0122,0.0122,0.012,0.012,25013,0
MKDWW.US,D,20250224,000000,0.0121,0.0125,0.0121,0.0125,26356,0
MKDWW.US,D,20250225,000000,0.0126,0.0127,0.0117,0.0117,71531,0
MKDWW.US,D,20250227,000000,0.0125,0.0125,0.0124,0.0124,6569,0
MKDWW.US,D,20250228,000000,0.0155,0.0198,0.0118,0.0118,18480,0
MKDWW.US,D,20250304,000000,0.0119,0.0119,0.0118,0.0118,3198,0
MKDWW.US,D,20250306,000000,0.0192,0.0194,0.0117,0.0117,53152,0
MKDWW.US,D,20250307,000000,0.0103,0.0117,0.0103,0.0116,1257,0
MKDWW.US,D,20250313,000000,0.0155,0.0156,0.0155,0.0156,4000,0
MKDWW.US,D,20250317,000000,0.0106,0.0106,0.0105,0.0106,20873,0
MKDWW.US,D,20250319,000000,0.0153,0.0154,0.011,0.011,4273,0
MKDWW.US,D,20250320,000000,0.0144,0.0144,0.0144,0.0144,120,0
MKDWW.US,D,20250331,000000,0.0114,0.0115,0.0114,0.0115,2000,0
MKDWW.US,D,20250403,000000,0.0136,0.0137,0.0136,0.0137,1936,0
MKDWW.US,D,20250404,000000,0.0138,0.0138,0.0091,0.0091,160191,0
