<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQT.US,D,20240625,000000,19.83,19.931,19.8299,19.931,14012,0
QQQT.US,D,20240626,000000,19.86,19.98,19.86,19.96,21522,0
QQQT.US,D,20240627,000000,19.98,20.02,19.9415,19.98,23491,0
QQQT.US,D,20240628,000000,20.01,20.15,19.895,19.91,27287,0
QQQT.US,D,20240701,000000,19.95,20.01,19.83,20.01,17168,0
QQQT.US,D,20240702,000000,19.94,20.1324,19.94,20.1324,11042,0
QQQT.US,D,20240703,000000,20.1499,20.32,20.1344,20.32,19730,0
QQQT.US,D,20240705,000000,20.35,20.51,20.3201,20.5,41277,0
QQQT.US,D,20240708,000000,20.52,20.54,20.48,20.53,34923,0
QQQT.US,D,20240709,000000,20.58,20.6,20.47,20.5105,30512,0
QQQT.US,D,20240710,000000,20.5762,20.71,20.55,20.71,27327,0
QQQT.US,D,20240711,000000,20.7,20.7,20.28,20.32,72762,0
QQQT.US,D,20240712,000000,20.295,20.54,20.295,20.39,44237,0
QQQT.US,D,20240715,000000,20.46,20.58,20.35,20.3694,26005,0
QQQT.US,D,20240716,000000,20.45,20.45,20.3,20.3856,15235,0
QQQT.US,D,20240717,000000,20.1,20.1,19.83,19.83,62116,0
QQQT.US,D,20240718,000000,19.956,19.956,19.58,19.6969,30655,0
QQQT.US,D,20240719,000000,19.72,19.72,19.496,19.53,14984,0
QQQT.US,D,20240722,000000,19.7,19.8091,19.6213,19.7519,24372,0
QQQT.US,D,20240723,000000,19.79,19.83,19.715,19.73,18627,0
QQQT.US,D,20240724,000000,19.46,19.46,18.9901,19.0138,49453,0
QQQT.US,D,20240725,000000,19.05,19.1899,18.748,18.85,38909,0
QQQT.US,D,20240726,000000,18.97,19.11,18.9001,19.01,34849,0
QQQT.US,D,20240729,000000,19.11,19.18,18.95,19.06,39249,0
QQQT.US,D,20240730,000000,19.15,19.15,18.66,18.81,47314,0
QQQT.US,D,20240731,000000,18.84,19.06,18.8101,19.03,58683,0
QQQT.US,D,20240801,000000,19.058,19.15,18.48,18.5954,35338,0
QQQT.US,D,20240802,000000,18.29,18.36,18.07,18.2065,63234,0
QQQT.US,D,20240805,000000,17.26,17.94,17.26,17.8,67680,0
QQQT.US,D,20240806,000000,17.825,18.2199,17.77,17.9,36398,0
QQQT.US,D,20240807,000000,18.2,18.235,17.7,17.73,15838,0
QQQT.US,D,20240808,000000,17.9,18.25,17.808,18.25,10591,0
QQQT.US,D,20240809,000000,18.2,18.33,18.1516,18.33,22953,0
QQQT.US,D,20240812,000000,18.34,18.4199,18.2881,18.36,13059,0
QQQT.US,D,20240813,000000,18.6189,18.8,18.58,18.8,17931,0
