<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KYTX.US,D,20240208,000000,34.25,35.06,30,30,6020904,0
KYTX.US,D,20240209,000000,30.15,30.5,29,30.1,633135,0
KYTX.US,D,20240212,000000,30.35,30.45,29.5401,29.93,631918,0
KYTX.US,D,20240213,000000,29.21,30.12,28.7557,29.71,401857,0
KYTX.US,D,20240214,000000,30.28,30.42,29.115,29.89,476524,0
KYTX.US,D,20240215,000000,29.61,30.075,29.12,29.75,305568,0
KYTX.US,D,20240216,000000,29.31,29.6,29.0489,29.5,325477,0
KYTX.US,D,20240220,000000,29.29,30.0029,27.32,28.21,204172,0
KYTX.US,D,20240221,000000,28.01,28.7846,26.04,27.55,677769,0
KYTX.US,D,20240222,000000,27.19,29.085,26.91,27.16,324189,0
KYTX.US,D,20240223,000000,27.2,28.2199,27.05,27.88,235383,0
KYTX.US,D,20240226,000000,27.41,28.085,27,28.04,233721,0
KYTX.US,D,20240227,000000,28.4,28.52,27.04,27.51,343812,0
KYTX.US,D,20240228,000000,27.51,28.625,27.51,28.07,287608,0
KYTX.US,D,20240229,000000,28.57,28.785,26.9,27.17,266388,0
KYTX.US,D,20240301,000000,27.5,28.3121,27.31,27.75,233610,0
KYTX.US,D,20240304,000000,28.25,28.4399,27.15,27.7,659911,0
KYTX.US,D,20240305,000000,28.65,28.695,27.21,28.1,130401,0
KYTX.US,D,20240306,000000,28.22,28.47,27.535,28.26,163830,0
KYTX.US,D,20240307,000000,28.19,29.25,28.19,28.78,164169,0
KYTX.US,D,20240308,000000,29.98,30.19,28.65,28.67,266696,0
KYTX.US,D,20240311,000000,28.53,30.22,28.365,29.49,270645,0
KYTX.US,D,20240312,000000,29.31,30.3663,28.88,29,152917,0
KYTX.US,D,20240313,000000,28.8,30.16,28.8,30.08,149433,0
KYTX.US,D,20240314,000000,30.44,30.6,29.29,29.54,167186,0
KYTX.US,D,20240315,000000,29.52,30.1,29.1699,29.71,1115293,0
KYTX.US,D,20240318,000000,29.7,29.96,26.25,26.75,397027,0
KYTX.US,D,20240319,000000,26.28,27.01,25.785,26.5,373328,0
KYTX.US,D,20240320,000000,26.16,27.12,25.7,26.05,362441,0
KYTX.US,D,20240321,000000,25.7,28.05,25.7,26.9,334166,0
KYTX.US,D,20240322,000000,27.05,27.19,25.54,25.72,295894,0
KYTX.US,D,20240325,000000,25.73,25.98,23.12,23.24,488732,0
KYTX.US,D,20240326,000000,23.24,24.89,23.24,24.86,560025,0
KYTX.US,D,20240327,000000,24.86,24.875,23.55,24.11,895582,0
KYTX.US,D,20240328,000000,24.01,25.275,23.51,24.84,212615,0
KYTX.US,D,20240401,000000,24.65,25.84,22.03,22.52,597188,0
KYTX.US,D,20240402,000000,22.74,23.61,22.21,22.9,710734,0
KYTX.US,D,20240403,000000,22.73,23.29,21.71,21.92,463883,0
KYTX.US,D,20240404,000000,21.99,22.58,21.49,22.3,975511,0
KYTX.US,D,20240405,000000,22.13,22.54,21.75,22.22,471018,0
KYTX.US,D,20240408,000000,22.53,23.7,22.13,23.28,341030,0
KYTX.US,D,20240409,000000,23.45,24.76,23.38,24.59,143669,0
KYTX.US,D,20240410,000000,24.17,24.91,24.17,24.67,104690,0
KYTX.US,D,20240411,000000,24.74,24.74,23.85,23.89,344447,0
KYTX.US,D,20240412,000000,23.82,24.59,22.45,22.78,174065,0
KYTX.US,D,20240415,000000,22.48,23.36,22.47,22.89,177892,0
KYTX.US,D,20240416,000000,22.93,23.16,22.195,22.43,215016,0
KYTX.US,D,20240417,000000,22.31,22.44,20.1,20.43,377600,0
KYTX.US,D,20240418,000000,20.02,20.395,18.45,19.01,969248,0
KYTX.US,D,20240419,000000,19.14,19.14,17.76,18.13,405854,0
KYTX.US,D,20240422,000000,17.82,19.67,17.81,19.5,284678,0
KYTX.US,D,20240423,000000,19.31,19.63,18.905,19.19,123070,0
KYTX.US,D,20240424,000000,19.2,19.44,17.23,17.71,222597,0
KYTX.US,D,20240425,000000,17.23,17.47,15.68,15.94,587880,0
KYTX.US,D,20240426,000000,15.75,16.16,15.43,15.47,705577,0
KYTX.US,D,20240429,000000,15.7,15.8,13.96,15.01,995709,0
KYTX.US,D,20240430,000000,14.86,15.96,14.86,15.14,374472,0
KYTX.US,D,20240501,000000,14.99,16.65,14.765,16.61,731696,0
KYTX.US,D,20240502,000000,16.56,16.56,14.86,15.03,538183,0
KYTX.US,D,20240503,000000,14.86,16.44,14.81,15.25,459649,0
KYTX.US,D,20240506,000000,15.28,15.483,13.75,13.96,238284,0
KYTX.US,D,20240507,000000,14.11,14.11,12.98,13.65,251900,0
KYTX.US,D,20240508,000000,13.92,13.92,12.26,12.66,423239,0
KYTX.US,D,20240509,000000,12.6,14.75,12.57,14.6,280449,0
KYTX.US,D,20240510,000000,14.86,14.86,13.81,14,217579,0
KYTX.US,D,20240513,000000,14.68,15.3,14.15,14.63,480075,0
KYTX.US,D,20240514,000000,14.75,15.73,14.75,15.5,337700,0
KYTX.US,D,20240515,000000,15.85,17.55,15.53,15.87,497255,0
KYTX.US,D,20240516,000000,15.96,16.32,15.16,15.25,134983,0
KYTX.US,D,20240517,000000,15.32,15.95,14.85,15.42,280858,0
KYTX.US,D,20240520,000000,15.37,17.06,14.13,14.4,330144,0
KYTX.US,D,20240521,000000,14.22,14.24,13.41,13.7,321711,0
KYTX.US,D,20240522,000000,13.44,14.29,13.28,13.33,192931,0
KYTX.US,D,20240523,000000,13.33,13.33,12.16,12.43,231719,0
KYTX.US,D,20240524,000000,12.32,13.44,12.15,13,192988,0
